DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
1,23.25,-0.55877201325,-36.76774793125,-19.236610186,-4.0761326748,-1.0065804421,-4.947154927625,-6.940665343,0.2501012585,0.043056188375,11.0733772375,373.80500651,8.3979395139,-2.37345,0.35255,283.8375,357.1375,9.655,9.64275,8.979,68.68225,72.89075,15.61125,16.20125,0.0945659410200001,101.2097926875
1,23.75,-0.4758303449,-41.0613722925,-15.82071325525,-5.4798823115,-1.5734630271,-3.19566977315,-6.971340486425,0.2112803092,0.054979815,10.88991354,370.71419003,8.3931668262,-2.37925,0.4377,286.495,355.555,9.6175,9.552,8.835,66.92875,72.54425,15.53125,16.14175,0.13682127859,101.18416703
2,0.25,-0.51424051705,-34.94895213825,-20.49946824475,-4.536337416725,-1.0588962775,-2.0412886749,-7.560653340925,0.2596619144,0.0532829907,14.402270605,359.313228215,10.16216817905,-2.2908,0.6929,302.46,374.03,12.902,13.057,12.574,72.106,75.628,18.474,17.196,0.9054029246425,101.270499185
2,0.75,-0.5145213665,-35.92382596,-17.837530124,-1.27162553815,-0.9762954636,-2.09923537,-5.7203719432,0.4114141301,0.04859,14.06297704,359.11684371,9.8496511741,-2.3414,0.485125,304.1175,374.025,12.716,12.83225,12.344,73.52925,77.07575,18.34325,17.22125,0.83782402695,101.26313963
2,1.25,-0.5003727515,-39.1634691095,-19.8482606725,-4.04186411725,-1.1390858717,-1.6288115163,-4.474203714975,0.3922121501,0.0587489355,13.9213176,359.4733131625,10.7405994575,-2.340825,0.48245,305.635,373.12,12.471,12.555,12.05375,71.2585,77.59575,18.29,17.224,0.739481608275,101.251378595
2,1.75,-0.4566265173,-38.308531884,-14.286321951375,-6.2615702336,-0.7874812615,-1.9778808452,-7.973012452625,0.25402748615,0.03930818675,13.8004524,358.61248276,10.70001198875,-2.5859,0.5096,307.69,371.21,12.2225,12.2245,11.92125,71.62875,77.68425,18.22275,17.244,0.9803969586125,101.249693715
2,2.25,-0.422511052,-37.270558198,-10.198158388625,-3.2889605351,-1.0624170742,-1.7087169633,-5.6053217305,0.311766150375,0.044091639,13.5004335,359.0443943875,9.23672083875,-2.4534,0.528475,307.6825,371.2275,12.01875,12.023,11.62375,71.4865,78.13725,18.14175,17.254,0.9289967664625,101.2051436
2,2.75,-0.413085733625,-33.536535622,-29.18276143375,-3.347138271375,-1.447120264,-1.566118549625,-7.78344288525,0.3488471,0.0650170025,13.4968296375,359.5253498375,8.780023141,-2.544925,0.578225,303.285,369.7725,11.91525,11.85025,11.49925,72.64675,78.47075,18.10175,17.264,0.930062807175,101.18389085
2,3.25,-0.3994624349,-35.67939555475,-17.2910766275,-2.5675,-1.095927925625,-1.39546507,-9.0782972615,0.3385472092,0.04855956165,13.39352577,358.09656462,8.1612795435,-2.6573,0.592325,300.6175,369.1375,11.80475,11.8045,11.09725,72.85175,79.04225,18.045,17.25925,0.7738243808625,101.16990414
2,3.75,-0.417876652,-34.3768364315,-21.711074315,-12.129175285,-1.08624492385,-1.51582800365,-7.9832417405,0.3381219628,0.0417536967,13.320061695,358.35584689,7.488496803875,-2.328325,0.428175,303.18,368.9575,11.61625,11.63375,10.939,74.10125,79.07525,17.97825,17.2435,0.799470482525,101.17294568
