DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
7,9.75,-0.8641096,357.8034878,0.67278695,-3.634358,8.649109,0.05869993,156.13105,20.559,0.93789515,0.9588775,0.133008675,0.28381295,0.70244365,0.76558245,20.237225,10.201475,15.62095,98.39975,26.4183,24.688725,23.0153,22.073175,21.90915,12.60725,250.29125,285.04,988.395,130.16,477.80075,92.6949,316.76225,493.7525,218.5175,-0.09509422,28.65275,27.2435,25.4955,25.15375,24.9695,29.1815,27.9795,25.9145,25.2055,25.11775,26.273,25.80425,25.20575,25.09675,24.836,5.3914015,10.666303,4.242822,0.890275,0.232475,-0.43725,-0.4465,-0.196775,162.5955
7,10.25,-0.7770086,357.2901907,0.67293775,-6.32474375,8.00172365,0.066728625,187.82175,21.6589,1.057992325,0.951003725,0.1300086,0.305488275,0.73140185,0.847139,21.1572,11.7535,14.299725,98.43095,27.55025,25.6873,23.52875,22.185725,21.926075,17.5196,289.83275,426.1216,1166.085475,156.5328,522.18425,114.29415,320.71725,510.81875,222.2,-0.105168075,29.67425,28.154,25.8755,25.1745,24.92975,31.13525,29.2085,26.515,25.26525,25.10825,27.1675,26.4755,25.578,25.10625,24.79625,7.7208915,13.124705,8.425081,2.009325,0.898875,-0.010125,-0.369875,-0.239675,333.4115
7,10.75,-0.79894465,356.409199,0.6970382,-5.6727,8.0542266,0.07202328,210.4855,22.416,1.0727505,1.14684775,0.15892475,0.310802925,0.790841125,0.881367075,22.18625,13.086775,13.657975,98.4125,28.79875,26.68795,24.13275,22.29405,21.9375,22.15235,320.138,511.44,1352.88,170.6702,589.99075,133.8186,326.152,523.924,219.38,-0.106587475,31.22425,29.06225,26.285,25.216,24.90975,33.56375,30.724,27.2445,25.345,25.12825,28.0765,27.18525,25.917,25.1265,24.76625,16.419135,21.1055,15.7583225,2.62025,1.736125,0.290525,-0.3004,-0.239,410.21125
7,11.25,-0.797342,355.575736125,0.7205685,-4.247225,7.9087774,0.075385925,222.1145,23.2322,1.176944625,1.23525,0.159795,0.329439,0.812096,0.9248715,23.036175,14.872375,13.28975,98.38375,30.06715,27.7777,24.696725,22.444475,21.912,26.53905,362.63225,625.05225,1352.73855,179.3008,637.817625,143.2428,330.805,536.096,225.5475,-0.125407375,32.32225,29.86075,26.7045,25.26775,24.9295,35.739,32.29175,28.04375,25.4645,25.13825,29.0585,27.6465,26.246,25.16675,24.746,22.0402275,34.7516975,21.0498675,2.512425,2.47055,0.653425,-0.1933,-0.238025,343.73625
7,11.75,-0.7307665,355.036719875,0.71209125,-5.4186375,8.08644845,0.08010814,235.58,24.3145,1.25869,1.2836,0.177400175,0.3412143,0.849587275,0.967177825,24.07475,16.3836,13.065425,98.396625,31.405825,28.83285,25.3404,22.567175,21.8906,31.2616,347.32,680.3765,1445.12135,181.73205,638.28675,146.71,333.811,544.184,213.86,-0.1163354,33.19575,30.5315,27.12425,25.34,24.92925,37.8015,33.98975,28.9335,25.5755,25.119,30.14575,28.279,26.58525,25.20625,24.7255,24.97777,41.172575,26.118395,2.9844,3.1224,1.1524,-0.10795,-0.225325,460.4365
7,12.25,-0.732942225,354.6204541,0.713481525,-7.2587875,7.74610825,0.08161825,262.88865,25.064,1.2857715,1.23875,0.17289,0.3401985,0.866545,0.995499,24.80095,17.624925,12.37575,98.32675,32.31475,29.69025,25.95375,22.7575,21.9173,36.1768,369.403,699.94365,1525.42,184.4224,679.45075,150.289,336.74625,548.6355,201.6075,-0.124848175,34.03575,30.89975,27.55425,25.528,24.89975,39.883,35.4965,29.8545,25.71575,25.12,30.8455,28.86975,26.915,25.2465,24.69575,28.865405,43.7221775,30.28495,2.9851,3.619275,1.63885,-0.066675,-0.17055,466.2255
7,12.75,-0.622575,354.1482064,0.6874112,-7.83835,7.680992,0.0852644,266.46075,25.8124,1.274350875,1.35233,0.18880875,0.352506025,0.88601115,1.021983025,25.455,18.8798,11.6151,98.28595,32.889,30.3664,26.5569,22.9177,21.913075,38.35625,387.752,755.925,1547.11945,183.20555,710.36125,149.48225,339.366,552.942,210.135,-0.14496995,34.2315,31.6105,27.975,25.668,24.8995,40.912,36.897,30.6155,25.89625,25.1395,31.64,29.45875,27.22525,25.3065,24.6655,29.4610225,45.935105,36.29387,3.14,4.1657,2.121,-0.006475,-0.12125,329.53525
7,13.25,-0.7784021,353.985603525,0.66770725,-9.43441,7.344316525,0.0862738975,261.088225,26.4335,1.2662135,1.35706,0.179723,0.35025,0.8964705,1.0280785,25.91515,20.621075,11.40975,98.1818,33.475575,30.821525,27.165175,23.1382,21.96,40.0146,378.65525,731.37675,1565.476,183.5555,718.955,148.69425,342.1955,558.3465,220.92,-0.139226175,34.883,32.0065,28.37525,25.80725,24.88,42.23125,37.5825,31.5935,26.097,25.179,32.39725,30.107,27.53475,25.377,24.65475,29.6098475,44.94134,40.1114925,3.06335,4.644,2.5819,0.127275,-0.0848,412.24325
7,13.75,-0.614592225,353.806768475,0.67567195,-13.429,7.34984135,0.09290801,245.9255,26.973645,1.249094,1.39505,0.19564,0.3495495,0.8686135,1.0295145,26.2125,21.678975,11.0234,98.211825,33.799625,31.050825,27.6289,23.386825,22.02345,38.07635,340.6565,722.89175,1505.4351125,181.253,633.702125,147.3525,343.809,555.34925,211.73,-0.151956225,35.522,32.76125,28.7345,25.9465,24.889,42.99825,38.7215,32.4615,26.319,25.19925,32.87825,30.489,27.844,25.45725,24.6355,32.0482925,43.4649175,39.072905,3.4181,4.9535,2.65275,0.281975,-0.0349,447.634
7,14.25,-0.704364,354.839567,0.634388,-10.721125,7.0469265,0.082584,235.565,27.062,1.18315,1.3452,0.199455,0.3497925,0.8785695,1.0134205,26.53795,22.321,10.58335,98.264925,33.8984,31.4006,27.9068,23.6157,22.1042,33.0719,336.83,658.46525,1482.7515875,179.503,637.37625,142.9625,344.74,553.426,201.1025,-0.16962255,35.53575,32.832,29.03425,26.087,24.8985,43.30775,39.464,33.15975,26.5895,25.20925,33.2425,30.874,28.06625,25.57675,24.636,32.0511925,42.87897,37.5737775,3.884125,5.359725,2.9551,0.40535,0.011675,400.3825
