DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
2,23.75,-0.51751065,-90.5264,-33.4837725,-22.86035,0.88002065,0.115356825,-12.689385,411.773625,2.7706345,0.3956377,0.30681235,0.179817,0.0676525,-4.269133225,-3.517235475,-13.21475,68.9285
3,0.25,-0.632258125,-78.019375,-38.781475,-12.95355,0.62669845,0.13481325,-8.5908035,412.831225,2.9963535,0.3095852,0.244064625,0.192563875,0.0781675,-4.594413275,-3.78965435,-8.85415,46.59914
3,0.75,-0.5280292,-92.56,-120.343425,-26.1983825,0.7059875,0.108327125,-8.683048,402.523625,3.02841425,0.2921257,0.2775759,0.182893375,0.07996,-4.5702081,-3.752912375,-8.94835,50.1287425
3,1.25,-0.6961744,-69.0643375,-42.9338125,-26.80912,0.5457603,0.0981625,-8.817605,411.67725,3.072344,0.28041785,0.22752935,0.142914375,0.0671125,-4.46239755,-3.6644612,-9.3198,54.44105
3,1.75,-0.6994736,-62.82464,-80.40803,-17.424715,0.5956238,0.1036252,-9.22479375,411.81925,3.1658295,0.2877932,0.18896475,0.1563148,0.0690125,-4.42195785,-3.65408345,-9.5115,57.6580575
3,2.25,-0.5554459,-60.37682,-68.495055,-19.52283,0.572905375,0.102290275,-9.570974,409.435625,3.116806,0.2619236,0.1914072,0.1445393,0.07222,-4.40638795,-3.6259359,-12.373125,54.86234
3,2.75,-0.6383016,-70.7636875,-45.9510525,-19.44297,0.6411509,0.0967625,-9.6380955,410.9988,3.11891,0.2684466,0.23066185,0.14278475,0.071895,-4.44207545,-3.67093175,-9.91735,56.9629575
3,3.25,-0.57916325,-102.738875,-80.0026475,-20.431965,0.67266445,0.101745625,-9.765423,411.6626,3.11013,0.30614965,0.219549,0.172084,0.069125,-4.27675245,-3.54877025,-10.04595,51.290085
3,3.75,-0.539030125,-148.5045,-50.637355,-25.633565,0.7061701,0.1174775,-9.7702625,411.0144,3.141034,0.3220095,0.19477055,0.196284125,0.061255,-4.28937805,-3.5578103,-10.05125,54.2857
3,4.25,-0.5348878,-120.24,-42.27713,-20.28235,0.490036,0.11325935,-10.1504,412.619125,3.129951,0.25843,0.2056594,0.169806875,0.0677625,-4.44696705,-3.6658978,-10.433625,62.1803675
3,4.75,-0.578213825,-124.37655,-49.3904675,-28.4862475,0.394412,0.0953425,-10.191074,412.3327,3.122442,0.215843425,0.171325525,0.164246025,0.079375,-4.36915895,-3.5945627,-10.4752,60.82905
3,5.25,-0.5162708,-72.07464,-28.05478,-52.1527525,0.626442625,0.101007,-10.185734,411.719625,3.05212,0.273809,0.1612506,0.1561294,0.06746,-4.36903565,-3.59309285,-10.471,44.6748725
3,5.75,-0.533119575,-123.2718,-51.48036,-39.155045,0.5786762,0.1064972,-10.357206,412.863275,3.0101195,0.3001144,0.2417844,0.1878486,0.06582,-4.4119259,-3.65885625,-10.6378,43.3132
3,6.25,-0.6435074,-91.3767575,-53.0218475,-37.30279,0.5994506,0.115908825,-10.5806565,404.771,3.004174,0.2726203,0.200970775,0.1742478,0.070875,-4.3001787,-3.5578991,-13.407375,53.790825
3,6.75,-0.572144325,-113.416,-50.7644575,-46.869345,0.78752625,0.099596425,-10.63401875,408.6676,3.131176,0.3505364,0.2425354,0.156954125,0.0675225,-3.83075055,-3.1524261,-10.902875,58.5565725
3,7.25,-0.6929571,-131.7084,-74.6536,-41.231785,0.7722998,0.101018,-10.69179,413.78135,3.0716125,0.3852476,0.3012138,0.2159914,0.0764,0.552870235,0.5375195,-10.9564,53.9275625
3,7.75,-0.7498221,-166.7744,-61.47819,-37.3422625,0.7850124,0.1375366,-10.44222,414.72925,3.2106245,0.4318062,0.3176082,0.2338912,0.1283712,8.43987575,7.1496984,-10.7032,58.775075
