DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
2,15.75,-13.7735,78.8775,-2.03,134.85,24.955,70.295,0.23,364.9,363.665,363.0125,363.55,367.45,394.63725,99.15625,15.395,430.6,452.73725,100.035,298.857,1.6385
2,16.25,-11.74875,61.7835,-3.66,102.6,24.96,71.7875,0.22275,364.305,364.305,363.2,363.6,367,397,99.1405,11.455,427.171,451.089,70.18,228.2965,1.63575
2,16.75,-8.4425,43.8625,-5.59225,76.825,24.66,74.01,0.193,364.9,364.0995,363.48,363.40325,367.1,396.6945,99.1365,7.885,423.6735,449.5945,46.566,176.902,1.518
2,17.25,-5.14475,16.7,-10.45875,49.4175,24.516,75.2325,0.153,365.15,364.458,364.53225,364.91975,368.1,396.6535,99.143,5.0525,419.369,447.398,21.838,104.3695,1.4235
2,17.75,-1.2505,5.284,-11.93,22.82,24.2875,78.39,0.11,366.07925,366.249,366.207,367,371.42475,397.2,99.16725,2.048,414.95,444.3335,-4.3425,48.128,1.424
2,18.25,-0.011,0.86,-12.60325,2.8005,24.125,81.2,0.084,368.3,368.946,369.65325,371.186,375.987,396,99.185,-0.17025,412.0235,443.018,-37.691,5.3275,1.41
2,18.75,0.093,-0.5985,-10.91,0,23.9375,82.73,0.075,370.5635,371.753,372.325,375.425,379.7,397.91725,99.2045,-0.70825,409.804,441.81625,-41.13875,0,1.406
2,19.25,0.239,-1.0395,-10.072,0,23.8,84.125,0.073,371,373.8765,375.195,379.075,385.51875,400.69475,99.2315,-0.54825,409.789,440.87925,-40.234,0,1.4085
2,19.75,0.181,-0.6135,-11.7525,0,23.6775,85.4,0.06925,373.39375,375.774,378.275,383.8,388.4855,402.35,99.2495,-0.41625,408.83,440.0245,-39.841,0,1.43
2,20.25,0.3185,-1.059,-10.114,0,23.6,85.9825,0.072,374.1525,376.91325,379.325,385.525,392.002,403.4,99.274,-0.3225,407.6085,439.28,-39.4505,0,1.39925
2,20.75,0.19,-0.89625,-8.759,0,23.495,87.4995,0.072,377.025,379.20025,382.943,388.0625,395.85,405.4275,99.294,-0.2955,407.34075,438.65375,-38.999,0,1.39825
2,21.25,0.4,-1.3235,-9.632,0,23.415,87.8745,0.064,377.025,381.6885,385.2,391.14975,397.625,407.73825,99.32,-0.2665,407.5085,438.092,-38.601,0,1.3425
2,21.75,0.188,-1.39525,-9.083,0,23.3835,88.7395,0.06225,380.58375,383.4,387.1,393.75,398.9,408.3,99.359,-0.2725,408.9505,438.00375,-38.314,0,1.33225
2,22.25,0.218,-1.17675,-9.2945,0,23.29,89.2835,0.058,380.93,385.5,389.817,396.7,402.85,411.45,99.383,-0.24,406.715,437.707,-37.763,0,1.33925
2,22.75,0.20225,-1.30825,-8.44625,0,23.2,89.8,0.057,380.969,386.225,390.324,398.7635,404.13375,411.2985,99.4,-0.2055,408.3795,437.436,-37.406,0,1.28575
2,23.25,0.22825,-1.5395,-8.13275,0,23.1475,90.075,0.0595,382.08375,387.75,391.0535,401.01025,407.1675,415.05,99.4065,-0.224,410.292,437.27275,-37.04,0,1.24725
2,23.75,0.157,-0.93225,-7.854,0,23.0825,90.4,0.057,383.66925,389.55,393.5,403.94125,409.6,416.7,99.4085,-0.21875,411.18,437.093,-36.1875,0,1.28075
3,0.25,0.184,-1.345,-6.73775,0,23.07,93.53875,0.063,390.525,394.5825,398.925,405.375,408.8,416.025,99.40025,-0.2,410.40475,437.2585,-35.673,0,1.21075
3,0.75,0.272,-1.756,-6.49225,0,23,93.9055,0.057,391.7235,396,399.525,409.3,414.61,417.8,99.4,-0.2,410.9965,436.97225,-33.48875,0,1.19
3,1.25,0.243,-1.71475,-7.17,0,22.9,94.0175,0.058,392.43325,396.925,401.9495,410.242,412.5,419.025,99.4,-0.2,411.55,436.72375,-34.674,0,1.16
