DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
9,12.25,396.224,13.431275,-2.718215,-0.15637525,29.5875,12.805,100.4,216.182,120.6085,3.74157,0.66810125,15.7575,92.980125,68.4125,9.1891975,16.6773,0.559652,13.285,11.19,11.42,450.74825,1204.73,50.46,614.925,51.395,342.53175,404.06725,-2.6643025
9,12.75,395.2375,13.67095,-2.9687225,-0.087630825,32.71,14.05,107.275,221.343,115.5105,3.804065,0.668048,16.34,92.9695,66.475,9.85593,16.958725,0.5630935,13.745,11.2625,11.4025,441.36925,1193.1875,49.035,602.775,49.5125,345.50825,407.59125,-2.6999825
9,13.25,395.21675,13.33275,-2.8448775,-0.0404737,33.2425,15.8775,95,207.278,126.284,3.73898,0.67167275,16.68835,92.947825,66.255,10.444625,17.2761,0.549825,14.3225,11.315,11.4,416.71725,1109.25,45.855,571.575,46.675,345.027,408.3565,-2.525825
9,13.75,394.05225,13.2917,-2.51133,-0.011386955,25.2375,18.19,96.1875,198.46225,109.0935,3.728125,0.67623025,17.165,92.92295,65.0375,10.975675,17.7272,0.521017,14.59,11.3825,11.3825,385.53675,1076.3475,44.015,539.375,44.2125,345.0815,410.60775,-2.180815
9,14.25,393.3965,13.2822,-2.08125,-0.0013835615,20.7725,18.1125,75.34,178.346,111.39,3.765505,0.6810945,17.53395,92.908825,65.875,11.331625,18.10215,0.486879,14.7,11.4725,11.3825,335.8585,969.556,40.99,486.475,40.935,343.735,408.97525,-1.7378075
9,14.75,393.629,12.96,-1.896845,0.0174023,18.05,15.8075,69.3775,150.459,100.015225,3.77197,0.67412125,17.7348,92.8901,66.3625,11.7029,18.2953,0.447045,14.5325,11.585,11.4,291.4685,837.9595,37.365,433.05,36.59,341.9885,409.3405,-1.5329725
9,15.25,393.63625,13.2386,-1.6252675,0.05995525,15.3675,12.6,61.4425,134.4525,86.723,3.63771,0.658946,17.863675,92.8813,65.78,11.88465,18.316175,0.407351,14.2,11.6625,11.4,247.86,752.7355,34.39,379.075,33.2275,343.12975,408.00175,-1.222345
9,15.75,393.241,13.1196,-1.07447,0.07172545,13.0125,10.395,53.755,103.808,80.7413,3.644215,0.642118,17.6006,92.8776,66.39,11.8062,18.39775,0.348607,13.9275,11.72,11.365,178.75775,602.462,29.045,301.875,29.02,343.46875,406.01275,-0.8348225
9,16.25,392.80925,13.060475,-0.529572,0.125706,11.97,9.0125,46.2625,68.9276,59.245775,3.54675,0.607144,17.5825,92.8831,67.4625,11.78725,18.4581,0.290396,13.7625,11.7825,11.37,125.2885,487.6335,24.035,242.15,25.28,344.717,402.343,-0.31565375
9,16.75,392.563,13.29045,-0.17749625,0.18448375,9.995,8.1025,37.84375,40.1988,51.91325,3.43302,0.54856,17.32,92.8694,69.5125,11.53625,18.3252,0.238544,13.575,11.83,11.3625,74.5447,358.25,19.9675,174.3,22.51,343.31625,399.30325,0.254989
9,17.25,392.242,13.52805,0.3598515,0.3301785,6.6885,6.9855,28.7125,17.80835,38.108725,3.249785,0.5065865,17.123475,92.87,71.2275,11.38635,18.022575,0.2068665,13.3375,11.88,11.36,26.33325,246.77875,14.1725,115.45,17.8175,344.01625,394.7555,0.9266205
9,17.75,392.84,13.380725,0.639418,0.50394,4.4375,5.2495,18.03,0.87382,25.4168,3.0946375,0.469065,16.81845,92.8693,74.7075,10.8132,17.695825,0.23920825,13.0425,11.9125,11.36,-3.0695,139.574,8.6625,62.4925,11.41,343.612,390.021,1.85842
9,18.25,394.336,13.28465,0.936354,0.7707335,2.088,3.68175,9.11375,-2.863,14.524725,2.98118,0.393222,16.06325,92.87345,76.31,9.73082,17.095475,0.283472,12.6225,11.9525,11.37,-18.38825,57.155,3.85475,24.76,5.352,343.04325,384.871,2.688415
9,18.75,395.70975,13.69695,1.37299,1.35975,-0.3015,1.94925,2.646875,-2.86135,9.17512,2.91818,0.3575585,15.3511,92.8906,79.6775,8.47661,16.3569,0.3603365,12.3325,11.99,11.35,-28.31675,9.8075,0.12775,3.8585,2.09125,341.23125,379.421,3.150605
9,19.25,398.45425,13.9359,1.69198,2.122815,-2.61075,0.55825,-4.49,-4.2992925,9.3716,3.01897,0.3588115,14.393075,92.9129,81.925,7.066175,15.38355,0.382624,12.0525,12.0025,11.36,-27.53875,1.2726975,0,0.39858325,1.529,339.762,375.0305,3.355845
9,19.75,401.26225,14.1292,2.16127,2.09521,-3.8265,-0.69175,-8.9475,-4.94258,7.77386,2.92331,0.3607125,13.539,92.9357,82.55,6.19951,14.68685,0.358224,11.7425,12.0025,11.36,-26.412,0.9178035,0,0.15549975,1.54275,338.51625,371.5945,3.26789
9,20.25,403.58825,14.0576,2.1354375,1.917105,-4.47025,-1.422,-12.79,-3.9015675,7.5027475,2.8878325,0.364339,12.805,92.9445,84.25,5.637895,14.083025,0.3404165,11.5025,11.9925,11.3525,-25.916,0.663646,0,0.0904,1.558,335.653,369.59,3.274415
9,20.75,406.4075,13.69775,2.171305,1.8343,-4.9465,-2.24425,-15.66625,-3.63623,7.8314425,2.84534,0.349399,12.33,92.9632,85.525,5.0026125,13.60665,0.367933,11.25,11.98,11.34,-22.4085,0.822464,0,0.0719,1.558,337.65225,368.0895,3.1708225
9,21.25,409.391,13.675975,2.100655,1.81721,-5.51375,-2.818,-17.59375,-3.635925,6.14914,2.82829,0.3479575,12.022925,92.9669,86.2,4.5529675,13.2631,0.377203,11.0525,11.9325,11.32,-19.6027,0.645371,0,0.147,1.63625,335.6975,366.1495,3.089575
9,21.75,412.851,13.65435,2.31514,1.49389,-6.00925,-3.52925,-18.735,-3.192135,7.04635,2.767745,0.3151325,11.461425,92.9838,87.225,4.1170375,12.807975,0.35713425,10.8525,11.8825,11.33,-16.1825,0.51579,0,0.08,1.6775,334.825,363.89525,3.0548025
