DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,19.75,-0.2534705,-40.55835,0.8012545,-0.6947985,0.7355905,0.117787,-5.212105,397.8565,3.2165675,0.324714,0.3288265,0.184194,0.1023435,-6.439435,97.9789,-21.007775,-8.0507675,-13.8679,1.0412925,1.22796,-0.13767375,-0.3292795
1,20.25,-0.202146,-38.4124,0.1348365,0.16631225,0.7799315,0.139755,-5.286825,399.408,2.98137,0.3159875,0.3381865,0.190804,0.1116515,-6.3579375,97.9645,-26.0609,-8.0167925,-13.828525,1.044565,1.22717,-0.15329925,-0.3525865
1,20.75,-0.205746,-37.04465,-0.24097,-0.1147945,0.7370645,0.109376,-5.557435,401.0445,2.99518,0.314725,0.308918,0.1500635,0.1397795,-6.4291725,97.958825,-27.2161,-8.0266775,-13.9025,1.0413275,1.22289,-0.1355185,-0.393243
1,21.25,-0.238461,-32.1584,0.196722,-0.031385,0.7056155,0.114552,-5.882625,402.0195,3.07108,0.3194865,0.307528,0.1617635,0.0997455,-6.7008075,97.95115,-24.709325,-8.03901,-13.9379,1.0326675,1.2239525,-0.125067,-0.360699
1,21.75,-0.22761225,-29.61825,0.149873,-0.109209,0.605542,0.11317425,-6.058725,401.35125,2.99527,0.2903075,0.31321225,0.15396475,0.1133185,-7.2849925,97.9712,-25.173475,-8.0319,-14.134575,1.02515,1.2258725,-0.138184,-0.294782
1,22.25,-0.25941025,-39.993325,-0.171422,-0.090475,0.687871,0.1088145,-5.95878,401.63275,3.11337,0.277733,0.28067725,0.13515175,0.104654,-7.7342875,97.952325,-24.804425,-8.020525,-13.90075,1.02732,1.2279125,-0.13507175,-0.2661935
1,22.75,-0.25328675,-32.723875,-1.0045995,-0.15593625,0.6134605,0.10193375,-5.8377575,401.8455,3.21115,0.30796325,0.301023,0.169545,0.1192075,-7.544455,97.9614,-24.214075,-8.012035,-13.897675,1.0301275,1.223875,-0.13221625,-0.2063435
1,23.25,-0.25116525,-40.623025,-0.56982875,0.00545,0.596698,0.11020075,-5.66243,400.5565,3.070525,0.29770875,0.32746175,0.1524225,0.11478475,-7.544575,97.947925,-19.7631,-8.06667,-13.9771,1.03194,1.2133675,-0.1219895,-0.2840255
1,23.75,-0.2474925,-32.77965,-0.721857,0.0542,0.5787155,0.1186865,-5.70227,399.972,3.088985,0.31027,0.2849515,0.1879365,0.1389045,-8.0182725,97.901625,-21.303175,-8.27836,-13.976175,1.034215,1.188845,-0.1193315,-0.3012265
2,0.25,-0.22946475,-28.070375,0.382755,-0.01025,0.8835305,0.14444175,-5.699935,401.6785,3.15782,0.38168275,0.33823175,0.208927,0.083475,-6.9454875,97.744425,-17.34435,-7.7413475,-11.811525,1.1714275,1.2783975,-0.17495425,-0.1052815
2,0.75,-0.241946,-26.71675,0.128125,-0.10777,0.889894,0.16167425,-5.6997,401.637,3.16879,0.37719675,0.31629575,0.2104635,0.086125,-6.9624825,97.728525,-19.179675,-7.78743,-11.94695,1.1686375,1.277055,-0.17066875,-0.38903
2,1.25,-0.21562225,-24.89305,-0.30148625,0.1085335,0.8869645,0.16042825,-5.8262575,402.0245,3.1962875,0.4061345,0.3494905,0.237979,0.08935,-7.04396,97.71905,-14.64985,-7.8294175,-11.76275,1.1500275,1.2694675,-0.15395625,-0.38673425
2,1.75,-0.21425425,-26.9148,0.294746,0.0897265,0.92831375,0.151506,-6.06878,402.2825,3.3037775,0.4081185,0.34989075,0.2401715,0.0837,-7.03152,97.663825,-14.39195,-7.8824975,-11.3785,1.146615,1.2679125,-0.14613825,-0.36146525
2,2.25,-0.2161415,-23.83125,-0.29739425,0.061525,0.8930235,0.159126,-5.82376,400.9595,3.5184275,0.414705,0.3463375,0.225865,0.09155,-6.95266,97.6623,-16.0782,-8.00316,-11.5665,1.13925,1.25896,-0.1525095,-0.36527225
