DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
4,10.75,-8.616,164.4375,61.7275,0.2355,1.011,310.8,817.75,551.725,5.825,36.865,3.9425,90.45025,11.5155,9.60625,3.85375
4,11.25,-8.0655,118.0175,54.6475,0.259,1.19275,305.825,826.75,610.375,6.213,34.5325,4.0125,90.45025,14.7925,11.35625,3.67625
4,11.75,-8.8625,119.41,64.165,0.2965,1.444,329.575,905.75,625.75,6.3075,33.0325,4.16,90.40075,17.83375,12.2975,3.9175
4,12.25,-8.42725,60.9425,56.9525,0.3,1.76625,352.225,925.25,526.175,6.5375,31.9125,4.2425,90.40075,18.00625,12.08125,4.3975
4,12.75,-8.481,54.065,44.2,0.275,1.864,321.75,842,483.05,6.79,30.9675,4.4325,90.40075,16.6995,11.8975,4.55225
4,13.25,-8.05575,31.745,38.1875,0.338,1.997,265.7,716.75,495.375,6.73475,30.125,4.1425,90.40075,16.2025,12.43375,4.59775
4,13.75,-8.1935,5.8225,24.1675,0.40425,1.94,268.775,702.5,446.025,6.8725,29.4175,4.29,90.45025,14.913,12.2975,4.73425
4,14.25,-7.5175,-1.2025,21.85,0.4085,1.9835,241.35,658.325,407.775,7.1,28.455,4.135,90.45025,14.1975,12.26875,4.68025
4,14.75,-7.30025,-18.7225,14.6375,0.446,1.90475,204.025,593.15,365.475,7.18,28.25,4.0525,90.45025,13.78375,12.34875,4.8355
4,15.25,-7.35775,-21.5825,6.99,0.48075,2.118,210.2,582.975,318.175,7.135,28.815,4.02,90.45025,12.636,12.37,5.289
4,15.75,-6.524,-15.8025,-1.28,0.43275,2.094,155.6,440.925,215.775,7,30.0875,3.8725,90.52525,10.67,12.13625,5.683
4,16.25,-6.16875,-22.88,-1.255,0.446,2.01725,110.225,360.55,187.125,6.4925,31.1875,3.5425,90.52525,7.48975,11.51625,6.0965
4,16.75,-5.447,-22.6525,0.275,0.3925,1.9685,79,254.35,160.475,6.195,31.935,3.455,90.52525,5.87925,11.2,6.43275
4,17.25,-5.033,-18.595,0.6175,0.3925,1.834,41.925,172.675,108.9,6.0025,33.6375,3.4375,90.5,3.76175,10.765,6.57025
4,17.75,-4.4255,-16.51,-2.3225,0.3575,1.66825,10.505,109.95,64.6225,5.5825,35.935,2.94,90.52525,1.623,10.26875,6.6685
4,18.25,-2.80175,-21,-0.6,0.3015,1.43075,-27.1875,45.115,26.51,4.7575,37.945,2.67,90.45025,-0.9755,9.505,6.81
4,18.75,-1.51,-11.36,-1.59,0.202,1.12225,-59.645,6.08575,2.68725,4.1325,41.91,2.28,90.45025,-2.753,9.11125,6.93475
4,19.25,0.047,-9.5825,-1.78,0.143,0.89025,-68.2725,0,0,3.835,45.57,2.15,90.45025,-4.65425,8.71125,6.98775
4,19.75,0.316,-17.3725,-0.65,0.106,0.77325,-66.5475,0,0,3.5405,49.2975,2.08,90.45025,-6.02175,8.2275,7.04325
