DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
5,15.25,409.184,0.102614995599874,17.116975,11.3651966354032,18.232625,0.09121385,139.59925,11.058425,189.203,8.52535,98.74605,27.9995,-0.2333875,0.7011505,1.53270057810463,1.51771470999452,0.881340569725659,5.337375,401.1,491.197,689.687,114.449,498.753
5,15.75,409.1515,0.0976903016316162,17.56245,11.4507590966045,22.4508,0.3357625,122.12975,6.98708,183.173,9.73097,98.71675,28.049,-0.1680915,0.716045,1.57936997538298,1.51831946550862,0.86336053864354,5.489395,403.863,486.39,577.55,91.7417,416.452
5,16.25,409.8075,0.109198976230295,17.639125,11.7535951946628,24.8753,0.4712695,100.5755,8.816445,168.025,9.1201575,98.7092,28.139,-0.209612,0.7057785,1.62703098937887,1.47710349428449,0.872354380941631,5.486855,399.92575,480.176,607.42425,94.301575,405.63075
5,16.75,408.66575,0.102026175957288,17.46055,10.6397838323906,26.1167,0.314069,80.2973,4.981375,145.47975,7.0059075,98.6975,28.1955,-0.1953225,0.68178,1.50934541914957,1.45054969660258,0.833505514281017,5.27359,403.466,476.02725,503.13,76.6678,317.14125
5,17.25,409.822,0.106237924468584,17.6329,10.3301016451921,25.5727,0.359568,67.52695,2.40462,125.6425,7.907815,98.69215,27.9945,-0.173999,0.656549,1.50509031642772,1.36117548434978,0.797620361156278,5.11155,400.343,471.847,409.35,66.8993,232.917
5,17.75,409.195,0.121205197908341,17.3633,9.43241220473321,22.184125,0.4447515,50.5227,0.6164815,102.668,11.4009,98.6754,27.9525,-0.1716745,0.656215,1.49476493039333,1.25254540758883,0.794991740768855,5.046785,397.7695,464.2675,281.5435,48.583975,145.74625
5,18.25,409.30125,0.10860528758674,17.522775,8.65224940768385,20.856525,0.697077,34.84125,-0.521907,78.544775,8.077535,98.6738,27.699,-0.171181,0.629585,1.3853212605914,1.21048973151079,0.76084671446782,4.96487,393.3025,457.60725,208.04275,37.493775,85.295425
5,18.75,409.743,0.113390034835518,17.3968,8.17149925044358,17.6719,0.635499,15.0863,-3.006045,66.4403,7.462905,98.68185,27.6925,-0.1086155,0.573015,1.30326524385796,1.08124497724292,0.724406359940375,4.73693,394.517,450.787,122.929,23.2187,21.0879
5,19.25,409.93975,0.116742023282107,17.258375,6.33921839866713,18.6282,1.013815,1.47559,-5.08742,39.749975,8.78157,98.69875,27.55575,-0.077455375,0.52263975,1.22517453642485,0.979373291606571,0.659685719447345,4.662555,396.533,444.863,47.2747,9.00873,-21.1479
5,19.75,411.34275,0.136470554909599,17.3503,5.84618783827824,16.7574,1.99498,-0.2171545,-8.3066575,30.304,8.932,98.6751,27.4025,-0.0547704499999999,0.466172,1.13526998342199,0.868406233749043,0.580605740935862,4.297,394.79825,438.561,5.5372975,3.1997725,-34.592
5,20.25,413.045,0.151661091735369,17.279075,6.41910053863486,14.35445,2.82856,-2.106555,-7.90729,26.1033,11.650825,98.69165,27.28,-0.0329772,0.4102285,0.987889163818886,0.840129651822268,0.502838918000319,4.15376,395.996,435.791,-1.572,1.602325,-44.197575
5,20.75,415.49225,0.159889024013533,17.57285,6.09389038299837,13.5892,3.027015,-3.1526525,-6.606405,22.0511,10.0297925,98.70585,26.892,-0.02756415,0.391455,0.980368591536556,0.75046892758014,0.495326511643635,4.094215,389.1755,433.5525,-2.1663675,1.521555,-52.09865
5,21.25,418.02275,0.188282525892839,17.726125,5.91785345610758,13.3844,3.11557,-1.4514925,-5.537035,18.68065,10.4381,98.73135,26.686,-0.02458885,0.379978,0.85767964864618,0.756019689880996,0.477461786839494,4.16066,387.838,429.97775,-2.071905,1.5046975,-40.8351
5,21.75,419.991,0.190449489932505,17.5757,5.56289245894398,13.5604,3.2495675,-2.433145,-5.22334,19.3944,8.371095,98.77225,26.461,-0.02174635,0.4051255,0.943721619775472,0.764435076107038,0.492864325090475,4.142445,385.907,426.34025,-2.303235,1.617115,-47.597025
