DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
3,14.25,0.0609,-2.427458347525,0.49225,-6.75675,-9.41935,23.682925,3.94645749115,413.58607959,46.91908303325,230.7983300825,6.0709332998,24.12141685075,1.509125,97.9284
3,14.75,0.086,-2.265281237675,0.4189,-4.8662,-29.71885,32.0902,4.6486305414,414.71543298,51.3103330365,233.8633367825,5.4609999668,24.679,1.6,97.9382875
3,15.25,0.106,-2.240571873575,0.4683,-4.84005,-49.35875,31.50185,3.9590037196,414.005055595,42.68366696675,233.1449968,4.8644666002,22.97416707575,1.511125,97.96325
3,15.75,0.07255,-2.380343775225,0.4391,-4.88895,-39.898075,5.9349,4.2824252953,415.33668344,35.61966637,232.996666635,4.2618666734,23.10441640575,1.538,97.9846875
3,16.25,0.07645,-2.448672915875,0.376375,-4.89185,-36.3846,18.6415,4.06905103815,414.90653849,32.49250067175,233.140833365,3.08220004,20.99199974425,1.5075,98.002875
3,16.75,0.1071,-2.93760727845,0.4773,-4.426075,-48.3296,11.79185,3.85596417945,416.3732158025,17.25428301325,223.9991699175,2.4975333732,22.49816677575,1.5075,98.0123875
3,17.25,0.080125,-3.436626055625,0.475625,-3.6571,-44.638025,7.5657,3.9921449131,415.10726507,10.064974928425,225.75083345,1.4791333134,21.096249925,1.5075,98.028075
3,17.75,0.0595,-3.84177602485,0.4111,-1.755275,-57.70625,0.793025,4.017850417025,407.163299215,3.386524936675,224.4075065825,0.6942666572,27.440000334,1.505,98.089825
3,18.25,0.053,-4.365685400075,0.139875,-1.585025,-68.7711,-6.992675,4.163156169025,408.710933485,-0.168991666575,220.624996865,-0.551799996,31.6716669395,1.5025,98.105875
3,18.75,0.042475,-4.8074864799,0.12475,-5.1724,-83.7943,-8.1722,4.3886642023,417.6457356775,-5.045316604675,216.3974965325,-1.230733327,32.4468337995,1.5,98.0962375
3,19.25,0.037,-5.42113125375,0.12985,-2.5064,-80.8603,-4.5412,3.820027221475,418.42951368,-5.0766417305,215.3308335325,-0.5460666528,34.99291566625,1.5,98.0612875
3,19.75,0.021325,-5.624587457575,0.2745,-0.2525,-79.5441,-0.388,3.9137533165,419.3293374,-4.96158329885,215.11333325,-0.604199985,35.9712511225,1.5,98.083575
3,20.25,0.02275,-6.3113374281,0.3093,-3.50015,-61.66555,-2.633,4.35831035935,419.27294932,-5.021175035325,214.3358333,-0.4070166715,35.1948333635,1.494375,98.081475
3,20.75,0.0325,-7.08746352515,0.247275,-0.9694,-57.25155,-1.4031,4.31758346085,418.872512755,-4.918308367175,206.20333005,-0.25849999825,37.6634999835,1.492875,98.0971375
3,21.25,0.025825,-7.779933431325,0.26995,-1.6359,-61.582125,-8.0421,4.699237347325,419.360368245,-4.870166572825,210.852503135,-0.43494999575,41.79649998,1.49325,98.0927125
3,21.75,0.03275,-8.19555413515,0.2959,-0.290875,-52.152475,-2.949175,4.7041510912,419.53526314,-4.94892490115,210.4841632825,-0.48249999955,42.84433238,1.493,98.08985
3,22.25,0.0376,-8.617037474425,0.27775,-0.972825,-49.474625,-1.278425,4.696927104,419.5527062,-4.8414749695,211.9716732825,-0.6745333577,44.5353323385,1.490625,98.05805
3,22.75,0.0338,-8.712376127,0.1795,-3.33415,-57.704,-14.40545,4.5166667699,419.475738855,-4.879266663325,215.5691699675,-0.226849996,43.0589163115,1.495,98.0441625
3,23.25,0.026125,-9.21937712765,0.17275,-1.88135,-58.3702,-2.27375,4.934995142425,420.147929445,-4.829466635825,206.5916700325,-0.264533333,46.96000033,1.5,98.027575
