DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
3,20.25,-5.73,-6.86,-4.5505,-7.3655,101.75835,81.1,-22.96,-32.703,2.545,0.0075,-6.1475,-4.747,162.95,198.85
3,20.75,-5.7195,-6.9915,-4.5355,-7.3415,101.76395,81.2,-23.055,-31.8095,0.2905,0,-6.726,-5.336,162.2,197.85
3,21.25,-5.702,-7.085,-4.4415,-7.319,101.7694,80.95,-23.02,-30.962,0.002,0,-7.0625,-5.4775,158.25,197.5
3,21.75,-5.748,-7.2865,-4.442,-7.365,101.7711,81,-23.26,-30.5105,0.002,0,-7.295,-5.5755,161.35,197
3,22.25,-5.806,-7.53,-4.467,-7.6325,101.78595,80.7,-23.275,-30.184,0,0,-7.315,-5.555,159.35,196.35
3,22.75,-5.891,-7.5855,-4.4935,-7.9005,101.80365,80.7,-23.36,-29.2015,0.004,0,-7.3065,-5.704,159.85,197.45
3,23.25,-5.9445,-7.975,-4.4525,-8.0735,101.81115,80.7,-23.43,-28.3395,0.004,0,-7.2235,-5.871,163.95,197.35
3,23.75,-6.033,-8.055,-4.4415,-8.385,101.82575,80.95,-23.23,-28.561,0.008,0,-7.318,-5.843,161,197.55
4,0.25,-0.219,-1.053,-0.926,-0.314,101.87915,84.65,-15.775,-21.557,0.027,0.1555,-6.1985,-5.053,204.9,229.7
4,0.75,-0.22,-1.112,-0.956,-0.381,101.8913,84.5,-15.735,-19.0435,0.004,0.638,-6.197,-5.0225,207.7,229.6
4,1.25,-0.2675,-1.185,-0.887,-0.545,101.90455,84.85,-16.13,-22.9405,0.012,0.448,-6.166,-4.872,204.85,229.35
4,1.75,-0.305,-1.248,-0.887,-0.6945,101.91395,84.85,-16.26,-23.4795,0.004,0.103,-6.1955,-5.049,205.45,228
4,2.25,-0.3225,-1.367,-0.848,-0.7625,101.91775,84.65,-16.43,-24.212,0.008,0.0525,-6.2135,-4.947,198.75,226.8
4,2.75,-0.3265,-1.443,-0.777,-0.885,101.90825,84.4,-16.555,-23.675,0.0885,0.01,-6.0215,-4.814,192.75,226.5
