DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
7,18.75,60.6,15.43,411.75745,30.00729
7,19.25,62.5,15.23,365.23355,24.92577
7,19.75,63.9,15.045,334.0422,23.75676
7,20.25,65,14.735,259.70855,19.040695
7,20.75,67.4,14.29,215.88475,14.98822
7,21.25,69.3,13.93,164.33489,11.74487
7,21.75,72.2,13.38,120.679,8.6637555
7,22.25,75.6,12.945,88.870625,6.5100475
7,22.75,78.2,12.36,61.054305,4.564919
7,23.25,81.1,11.505,38.719695,2.8400045
7,23.75,84,10.96,25.25451,1.804717
8,0.25,92,5.6415,0.2733384,0.08565172
8,0.75,92.8,5.2165,0.1698172,0.07576071
8,1.25,92.8,5.0745,0.1495012,0.076507065
8,1.75,93.15,4.9265,0.1486711,0.08279336
8,2.25,93.4,4.90240105,0.1566368,0.081615055
8,2.75,93.5,4.806,0.2421813,0.10376
8,3.25,93.9,4.5215,0.4305279,0.1218847
8,3.75,94.05,4.3695,1.030515,0.1667658
8,4.25,94.2,4.316,2.791648,0.28544725
8,4.75,94.1,4.0695,6.852455,0.47295285
8,5.25,93.6,4.183,14.0595,0.9310187
8,5.75,93.65,4.166,31.79449,2.061189
8,6.25,93.12568,4.368,52.0493,3.678924
8,6.75,93.35,4.668,82.2554,5.664211
8,7.25,92.9,5.0645,118.2272,7.824851
8,7.75,92.2,5.385,155.0528,10.44781
8,8.25,91.1,5.6525,203.2589,13.69184
8,8.75,90.3,6.1455,255.9127,16.97156
8,9.25,89.35312,6.493,303.8873,21.18072
8,9.75,87.9,7.0295,352.3463,23.552805
8,10.25,86.5,7.303,401.3872,27.076225
8,10.75,84.95,7.676,446.1326,31.81435
8,11.25,82.95,8.0670845,482.77535,36.773065
8,11.75,80.7,8.44,542.6321,37.60234
8,12.25,78.55,8.675,574.09355,37.12008
8,12.75,77.2,9.09,574.0494,40.7538
8,13.25,75.5,9.3685335,601.7222,39.87101
8,13.75,74.9,9.67,597.7894,42.03955
8,14.25,72.6,9.86,594.3256,42.01371
8,14.75,70.95,10.3747985,583.7439,40.32603
8,15.25,71.6,10.32,546.46635,38.0076085
8,15.75,70.8,10.44,508.58555,34.373115
8,16.25,70.2,10.4,486.1233,31.82933
8,16.75,70.1,10.63,450.6124,30.7971
8,17.25,70.4,10.489735,388.1822,24.89241
8,17.75,71.8,10.38,322.15185,20.88893
8,18.25,72.37512,10.16,269.09865,17.1702525
8,18.75,72.8,9.98,248.2821,15.909525
8,19.25,75,9.83,188.5195,13.157415
8,19.75,77.1,9.44,143.59025,9.551143
8,20.25,80,8.89,101.9934,6.8960995
8,20.75,82.2,8.3,66.15578,4.532789
8,21.25,84.9,7.94,38.14273,2.464422
8,21.75,87.4,7.258,20.05177,1.244021
8,22.25,89.3,6.887,8.6530515,0.601373
8,22.75,90.8,6.339,3.475975,0.3248596
8,23.25,91,5.927,1.347928,0.2143515
8,23.75,91.9,5.515,0.57913525,0.1398474
9,0.25,93.3,0.447,0.006791784,0.05502073
9,0.75,93.2,0.346,-0.006791789,0.05429752
9,1.25,93.3,0.172,7.54e-05,0.06068418
9,1.75,93.7,-0.018,0.001544512,0.05247429
9,2.25,93.4,-0.123,3.8e-05,0.063475735
9,2.75,93.4,-0.217,-0.001822912,0.064449545
9,3.25,93.6,-0.274,-0.008275934,0.060571525
9,3.75,93.7,-0.304,0.00063274,0.06366462
9,4.25,93.4,-0.417,-0.002863622,0.06648365
9,4.75,93.7,-0.546,0.04049229,0.072765665
9,5.25,93.7,-0.571,0.1902601,0.08829916
9,5.75,93.7,-0.504,1.359319,0.2058564
9,6.25,93.3,-0.583,4.482641,0.4270116
9,6.75,93.1,-0.53,14.08413,1.2148855
9,7.25,93.7,-0.474,29.03815,3.801804
9,7.75,93.9,-0.416,52.89817,9.136388
9,8.25,93.7,-0.253,84.30602,16.16973
9,8.75,93.1,-0.114,129.5411,22.89647
9,9.25,92.25,0.186,173.4603,31.954615
9,9.75,91.4,0.504,229.8791,38.818495
9,10.25,90,0.7255,280.12495,44.460065
9,10.75,89.35,1.151,338.4346,53.544755
9,11.25,88.55,1.476,371.38325,50.43762
9,11.75,85.95,1.7995,409.80135,55.878975
9,12.25,85.5,2.054,411.6312,61.99619
9,12.75,84.4,2.3995,440.33765,57.74389
9,13.25,84.4,2.251,451.6554,56.80265
9,13.75,82.9,2.825,442.9893,59.18202
9,14.25,81.4,3.017,421.0058,50.55019
9,14.75,80.45,3.639,427.52165,55.602825
9,15.25,79.65,3.6415,368.3263,50.02359
9,15.75,78.6,3.6695,337.24805,47.580755
9,16.25,78.5,3.895,305.77,39.33472
9,16.75,79,3.918,258.2356,37.61109
9,17.25,78.7,4.023,217.5932,29.01909
9,17.75,80.7,3.824,159.3684,21.65528
9,18.25,82.3,3.2215,114.6878,16.74175
9,18.75,83.7,2.7685,81.81142,10.37754
9,19.25,84.85,2.6015,51.40214,5.638335
9,19.75,86.95,2.4235,25.000405,2.083948
9,20.25,88.95,1.9515,11.57758,0.6731435
9,20.75,89.75,1.6175,3.9426995,0.2674921
9,21.25,90.35,1.3115,1.2850035,0.09293958
9,21.75,91.65,0.957,0.2362101,0.054362435
9,22.25,91.6,0.714,0.050918515,0.05185064
9,22.75,92,0.486,0.012613235,0.05156303
9,23.25,92.55,0.381,0.017189665,0.04526229
9,23.75,93.05,0.3825,9.4056e-06,0.04796329
10,0.25,90.1,-7.7,-0.03372764,0.1363971
10,0.75,90.3,-7.454,-0.03656634,0.12797135
10,1.25,90.1,-7.628,-0.03217091,0.1232733
10,1.75,90.1,-8.4,-0.03652418,0.1476505
10,2.25,89.9,-8.17,-0.03307937,0.1431076
10,2.75,89.8,-8.06,-0.03308194,0.14243055
10,3.25,89.8,-7.833,-0.03338678,0.1453921
10,3.75,89.8,-7.943,-0.03315774,0.1420331
10,4.25,89.9,-7.831,-0.03705328,0.1654583
