DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
5,20.25,5.48358,17.630781,59.4874575,0.526304575,25.26925,98.9536375,100,12.484024,5.47398675,1.57785092451753,1.14156587836334,0.63872955630652
5,20.75,5.4315565,9.69981875,60.6305975,0.4674426,24.7711000000001,98.9749475,100,8.8006475,5.396178,1.33308661616397,1.18831447499848,0.654865237412704
5,21.25,6.343916,19.8739375,62.389215,0.4822175,24.578825,98.9896475,100,7.526655,6.025371,1.6147589567283,1.43018593709939,0.68919576492843
5,21.75,7.550446,12.86374,44.265255,0.5390824,24.23515,99.006775,100,6.753851,6.017317,1.62902585642699,1.26023664250709,0.658971443574915
5,22.25,11.9562665,14.127075,38.22152,0.5176115,23.33505,99.0076,100,7.084909,5.64728,1.52668657233801,1.1034582003864,0.634744852130056
5,22.75,6.4173025,10.20715625,53.8828,0.50278295,22.974175,99.0072375,100,7.75180025,6.3615905,1.48133537236453,1.17701766719076,0.649241651852212
5,23.25,8.8232775,8.169598,92.6341600000001,0.4670212,22.851,98.9962375,100,10.38076,5.701432,1.43243504624068,1.11998452799875,0.587864706435244
5,23.75,10.6254915,9.11824249999998,46.827305,0.47322405,22.280725,98.9929075,100,11.3769955,5.95904225,1.44178014967609,1.17267458840293,0.625881147444236
6,0.25,8.518592,-0.152201499999998,43.17494,0.518041575,23.84355,98.70192,100,4.9183845,5.1283755,1.17707312051939,1.05234420106759,0.561943130175767
6,0.75,23.24944,-9.955234,44.08784,0.4946167,23.66795,98.71669,100,3.983655,5.3738175,1.25376654734087,0.887445350408556,0.547145278582855
6,1.25,16.16318,-2.102696875,52.69736,0.494037575,23.281,98.723905,100,3.736475,5.402189,1.24764599039737,1.28938745303609,0.539478993218617
6,1.75,12.883805,-2.79651725,47.68884,0.472161825,23.03035,98.7001675,100,13.629925,4.91943475,1.29652168060962,0.836860534235081,0.522919436173274
6,2.25,8.1806765,0.08766,37.9146375,0.4759419,22.85535,98.68521,100,7.9320465,4.413022,1.08320639857124,0.835751962943702,0.527461881751745
6,2.75,8.24356675,-2.47576,35.46318,0.468448625,22.9408,98.68303,100,6.320691,4.6498435,1.12583310716367,0.828625689606866,0.517229667600527
