DOY2,HR2,CO2,FC,H2O,SC,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU,USTAR,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,CO2_SIGMA,H2O_SIGMA
2,12.25,408.709,0.479751,4.50674,-0.0216,38.9298,33.7306,98.2655,67.8618,3.182,-0.201,2.032835,263.717,309.183,243.0865,603.51,210.44,-0.110274,0.276977,4.23366,0.008,-0.0965,0.0485,0.8499153625,0.129363425
2,12.75,408.446,0.426709,4.50899,-0.02105,45.6981,36.2014,98.2693,66.34145,3.278,-0.11,2.08987,267.479,310.2215,254.623,620.8535,216.3675,-0.123184,0.312034,4.06463,0.027,-0.0965,0.0485,0.7955967335,0.144188565
2,13.25,408.0475,0.549193,4.54804,-0.0148,43.2899,32.362,98.2203,65.625,3.223,-0.048,2.111,269.657,310.797,263.323,593.685,198.72,-0.106587,0.278768,4.42993,0.0385,-0.1,0.05,0.750053396,0.1384213785
2,13.75,408.213,0.6151235,4.4931,-0.009775,34.547,32.3126,98.1646,64.5786,3.33,-0.129,2.26267,270.287,310.381,251.63,570.164,175.727,-0.1202665,0.303649,4.38817,0.0915,-0.08,0.067,0.676281808,0.14059729
2,14.25,407.734,0.663059,4.52999,-0.00553,30.74875,32.30245,98.1489,64.484,3.28,-0.029,2.39302,263.532,310.485,232.031,526.82,145.7575,-0.115397,0.294837,4.29875,0.1,-0.07,0.1,0.654775018,0.1332031515
2,14.75,407.596,0.8158435,4.43876,-0.01635,25.943,31.5369,98.133,64.44535,3.223,0.004,2.258215,266.171,310.024,195.0775,448.481,121.2115,-0.104589,0.287187,4.389945,0.1,-0.067,0.1,0.595341853,0.125860421
2,15.25,407.23,0.937539,4.303365,-0.0142,17.4913,29.03775,98.1793,64.26555,3.398,-0.2205,2.288565,270.3535,308.9665,157.9345,374.2785,87.2444,-0.101049,0.2846115,3.98488,0.1,-0.067,0.1,0.5391697465,0.1217135225
2,15.75,407.3565,1.12125,4.36705,-0.01075,10.7393,23.498,98.20955,66.23595,3.272,-0.357,2.26826,267.0855,307.255,115.2825,285.669,66.95005,-0.105129,0.2770695,3.97096,0.1,-0.095,0.1,0.512424716,0.119252769
2,16.25,407.021,1.16067,4.38965,-0.0126,4.40819,19.47645,98.1969,66.3028,3.439,-0.451,2.16685,258.985,305.971,73.5482,188.631,55.3863,-0.08705,0.245627,3.90358,0.1,-0.1,0.1,0.4448155825,0.101945889
2,16.75,406.931,1.22872,4.49304,-0.00441,-2.66516,12.5319,98.2321,67.9773,3.591,-0.724,1.90129,256.641,303.485,31.2273,110.51,26.3133,-0.0773,0.239261,3.44237,0.1,-0.087,0.1,0.508134145,0.093444046
2,17.25,406.949,0.7867065,4.28334,0.01105,-7.36106,9.030565,98.25005,70.74915,2.7615,-1.3455,1.664685,253.88,299.042,3.90435,39.0819,7.427125,-0.0565,0.2095875,3.277575,0.1,-0.077,0.1,0.569511704,0.084753683
2,17.75,407.0165,0.7309465,4.22752,0.004655,-9.32298,5.95423,98.25845,73.91895,2.434,-1.8865,1.427475,257.631,294.3255,-21.03875,-1.47303,-4.7435,-0.0416,0.1749165,3.01432,0.1,-0.093,0.1,0.708763098,0.0645193725
2,18.25,407.3165,0.677761,4.27953,0.025,-10.4826,4.26546,98.25185,76.36985,2.0395,-2.559,1.27331,261.015,291.05,-34.17175,-9.873415,-6.723665,-0.0342,0.1564825,2.946965,0.093,-0.093,0.1,0.783390196,0.052123585
2,18.75,407.689,0.7422225,4.202605,0.017,-9.883095,3.889315,98.2573,75.8101,1.86,-2.8325,1.16419,261.0805,290.421,-33.73385,-10.31325,-6.82185,-0.0355,0.161094,2.922115,0.081,-0.0985,0.1,0.756568805,0.049145525
2,19.25,408.055,0.744399,4.08076,0.0222,-10.2486,4.028605,98.2863,78.67535,1.3465,-3.1245,1.04733,251.485,289.113,-32.947,-10.3568,-6.64006,-0.0335,0.1533965,2.834785,0.0985,-0.0965,0.1,0.726465905,0.046151502
2,19.75,408.58,0.706495,4.06386,0.0169,-11.4064,2.62233,98.29095,80.4949,1.1535,-3.275,1.03584,255.261,287.758,-33.9985,-10.2693,-6.65476,-0.0393,0.150638,2.72041,0.085,-0.0915,0.1,0.759261213,0.04763438
2,20.25,408.692,0.753741,4.060935,0.00941,-7.644545,3.02995,98.2887,79.3023,0.803,-3.7135,1.00514,253.489,284.489,-29.4238,-10.1254,-6.5897,-0.0422,0.164646,2.898765,0.0965,-0.073,0.1,0.7313665505,0.046786321
2,20.75,409.0685,0.836737,4.01778,0.0155,-9.04245,4.28949,98.2936,79.7034,0.262,-4.3485,1.02892,245.658,283.755,-28.9635,-9.80822,-6.60786,-0.0405,0.162686,2.7458,0.0915,-0.087,0.1,0.726723348,0.05104644
2,21.25,409.087,0.756503,3.94858,0.0148,-9.33972,3.31881,98.3023,79.8092,-0.067,-4.649,1.012865,243.8505,284.603,-26.75255,-9.80901,-6.39236,-0.04095,0.151999,2.79024,0.095,-0.08,0.1,0.695767682,0.0474881385
2,21.75,409.4,0.751688,3.88623,0.00555,-10.5218,2.36238,98.2948,79.5402,0.003,-4.672,0.9635095,242.909,283.887,-30.23895,-10.1706,-6.725715,-0.03745,0.155028,2.72433,0.0965,-0.073,0.1,0.6501612235,0.047398848
2,22.25,409.1815,0.718642,3.865945,0.008235,-8.00668,2.58424,98.3022,80.7752,-0.302,-4.7855,0.868009,241.775,283.529,-32.9239,-10.565,-6.88266,-0.03645,0.160567,2.538795,0.1,-0.055,0.1,0.691022991,0.043663844
2,22.75,409.2945,0.7334125,3.906,0.0105,-8.649835,2.35617,98.31545,81.4138,-0.5485,-4.9725,0.824985,240.372,283.84,-34.4117,-10.3025,-6.56307,-0.0337,0.1513855,2.57777,0.1,-0.057,0.1,0.732466378,0.044964362
2,23.25,409.477,0.696353,3.9244,0.00736,-9.29715,2.42477,98.3399,82.66015,-0.6395,-5.068,0.807182,242.777,282.812,-33.3798,-10.2935,-6.70282,-0.0383,0.1597235,2.67065,0.1,-0.063,0.1,0.71732466,0.042130326
2,23.75,409.51,0.7547085,3.90071,0.00675,-7.77417,2.32977,98.34835,82.7436,-0.573,-4.992,0.7749905,239.832,282.023,-35.0392,-10.3237,-6.74956,-0.0348,0.157154,2.767655,0.1,-0.037,0.1,0.654992788,0.042946828
3,0.25,412.422,0.988627,5.04741,0.00973,-13.7795,5.852025,98.10725,85.3423,4.466,-0.486,0.9558435,305.002,310.982,-11.8833,-11.286,-7.72294,-0.054,0.2058405,2.800055,2.9035,3.072,3.3115,0.777567773,0.064276161
3,0.75,412.4575,0.97246,5.06689,0.0132,-11.014,6.21455,98.10305,84.776,4.5595,-0.635,0.940688,308.843,310.852,-7.83144,-10.8431,-7.64681,-0.0592,0.205697,2.8561,2.8,2.98,3.1385,0.7660899925,0.068116616
3,1.25,412.171,0.8399355,5.007365,0.00673,-9.24577,5.76614,98.1203,86.6024,4.013,-0.914,0.823102,300.374,310.5095,-14.66515,-10.50335,-7.63454,-0.05535,0.205776,2.79,2.7535,2.881,2.9515,0.8107563075,0.058993091
3,1.75,412.973,0.726028,4.97181,0.0138,-9.82817,6.286705,98.111,87.4322,3.694,-0.971,0.7996665,299.058,310.2955,-17.9043,-10.7084,-7.45781,-0.0533,0.2018855,2.6942,2.648,2.8275,2.93,0.73303258,0.054644442
3,2.25,412.977,0.77218,4.99022,0.01415,-10.10035,4.36566,98.1055,87.0592,3.636,-0.931,0.785383,300.875,309.15,-12.0636,-10.1317,-7.16086,-0.0553,0.196548,2.79364,2.563,2.643,2.9,0.755583579,0.060738871
3,2.75,413.128,0.874079,4.87989,0.00887,-9.364715,3.94342,98.1124,86.24445,3.324,-1.085,0.777187,298.7845,309.468,-11.55145,-10.2754,-6.907685,-0.0516,0.198404,2.80708,2.4965,2.7,2.9,0.678107958,0.051619424
3,3.25,413.534,0.847288,4.949165,0.0058,-8.255965,5.02013,98.1152,87.146,3.496,-1.204,0.6891095,299.43,309.759,-14.4371,-10.6975,-7.34259,-0.04895,0.19233,2.70342,2.4265,2.7365,2.9,0.6680184025,0.048652258
3,3.75,414.13,0.869379,4.913175,0.0139,-9.96173,3.87729,98.1303,86.7856,3.325,-1.3,0.6443625,293.121,309.362,-22.13035,-10.70485,-7.38456,-0.0552,0.205816,2.55961,2.4,2.8,2.9,0.728827815,0.051204499
