DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
4,3.75,0.11,18.035,1.0755,3.795,3.2175,0.0305,-21.8035,-0.79,-8.91,88.4,101.7,396.2835,2.75,-23.09,0,0.15,16.552
4,4.25,0.1085,17.785,1.042,3.795,3.4675,0.08,-23.52,-0.039,-8.99,89.6,101.7,399.032,2.41,-20.08,0,0.158,16.6595
4,4.75,0.111,17.525,1.0075,3.9115,3.0455,0.076,-20.057,0.35,-9.28,90.1,101.7,403.206,2.19,-18.21,0,0.151,16.726
4,5.25,0.1015,17.73,0.997,3.684,3.067,0.148,-19.236,0.618,-9.74,91.4,101.7,405.9995,2.05,-15.815,0,0.179,16.196
4,5.75,0.0865,17.695,0.917,3.708,3.482,0.115,-19.04,2.059,-9.94,91.4,101.8,405.225,1.87,-10.63,4.492,1.798,16.651
4,6.25,0.1165,18.075,0.9915,2.7445,2.2625,-0.023,-14.508,3.7705,-9.62,91.9,101.8,405.355,1.69,5.321,66.39,26.26,17.6085
4,6.75,0.15,19.44,1.07,0.483,1.518,-0.18,-11.694,13.48,-9.26,90.6,101.8,399.377,2.03,47.59,219.4305,103.6,19.2345
4,7.25,0.226,20.6025,1.453,-2.583,-1.416,-0.499,9.714,39.79,-6.81,84.6,101.9,389.721,3.87,110.8,440.75,199.8,19.709
4,7.75,0.311,21.915,2.031,-5.346,-4.136,-0.714,39.153,67.59,-4.001,76.4,101.9,380.541,6.4,189.8,658.25,305.6,19.746
4,8.25,0.36,23.075,2.3285,-7.153,-6.113,-0.2485,80.364,95.979,-1.203,69.54,101.9,377.566,8.69,271.7,861.167,411.1,19.335
4,8.75,0.4,23.65,2.568,-7.8845,-6.991,-0.116,121.774,118.65,0.809,65.3355,101.9,375.5545,10.06,353.6,1061,514.4,19.0185
4,9.25,0.4045,24.45,2.524,-8.8145,-7.969,-0.04,157.014,145.244,2.167,62.8,101.9,375.424,11.595,436.05,1235.334,605,18.5485
4,9.75,0.413,25,2.5875,-8.9235,-7.974,-0.03,192.448,169.28,3.686,60.45,101.9,375.277,12.565,502.8,1417,683.6,18.3345
4,10.25,0.437,25.38,2.597,-9.445,-8.618,-0.024,228.82,183.8505,5.257,57.605,101.9,374.5155,13.915,564.1,1535.931,765,18.005
4,10.75,0.442,25.785,2.784,-9.522,-8.894,-0.003,249.087,197.503,6.6325,56.3,101.9,374.348,14.96,611.5,1599,821,17.862
4,11.25,0.4695,26.14,2.866,-9.3095,-8.881,0.003,258.582,201.083,8.265,55.8,101.9,374.182,15.36,639.6,1589,836.5,17.52
4,11.75,0.477,26.47,2.908,-9.667,-8.747,-0.002,280.83,198.2725,10.22,54.2025,101.9,374.302,15.485,654.7,1718.547,872,17.581
4,12.25,0.4805,26.75,2.9995,-9.47,-8.441,0.012,291.318,204.8285,11.745,53.605,101.9,375.11,15.895,660,1770.667,897.5,17.46
4,12.75,0.495,26.83,3.076,-9.1955,-8.559,-0.007,284.85,198.046,12.63,53.64,101.9,374.9,15.775,665.7,1805.667,890,17.6555
4,13.25,0.501,26.68,3.0455,-9.382,-8.7135,0.011,293.532,191.442,12.435,52.95,101.8,374.7265,15.77,638.9,1765,866.5,17.801
4,13.75,0.506,26.45,3.144,-8.822,-8.2055,-0.008,282.7215,171.76,11.96,53.9,101.8,374.814,15.325,614.2,1640,831.5,17.505
4,14.25,0.517,26.47,3.1695,-8.08,-7.575,-0.005,263.4565,167.3545,11.66,54.2225,101.8,374.778,15.425,573.6,1529,786,17.6315
4,14.75,0.5045,26.17,3.157,-7.802,-7.265,0.003,231.153,154.18,11.51,54.41,101.7,374.621,15.11,506.4,1425,720,17.7665
