DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
6,0.75,0.30125,1.2935,2.9525,-7.93825,2.5175,-0.00937,-2.91596,3.181525,4.08384,-0.33930325,2.386015,2.0328775,1.36593,0.262042,24.1785,21.728,100.209,100,0.84216225,369.55225,27.289275,0.598046,0.502488,0.305092,0.219999,0.15534325,0.16952195275,3.94098675,1.092547775
6,1.25,0.27,1.342,4.041,-8.109,2.167,-0.0089856425,-3.94246,3.21807,4.9583,-0.250286,2.934,1.65788,1.374765,0.2610465,23.9179,21.580625,100.18525,100,0.50999,371.825,27.3391,0.5550005,0.46889925,0.30198725,0.24081275,0.186771,0.14240569,3.94098675,1.029699525
6,1.75,0.251,1.186,3.828,-7.766,3.138,-0.009066825,-2.980045,3.26799,4.713125,-0.733288,2.01172,1.80721,1.35524,0.281462,23.7533,21.4191,100.16,100,0.2035095,371.606,27.15645,0.587513,0.4899395,0.318185,0.24688,0.164751,0.1578662005,3.94098675,0.9947315625
6,2.25,0.243,1.162,3.2365,-6.0245,2.815,-0.008905,-2.90628,4.153445,4.718315,-0.0444511,3.05817,2.44788,1.37628,0.27366925,23.748425,21.348575,100.1615,100,0.12928885,375.1355,26.96275,0.58929125,0.46332925,0.31627725,0.24637425,0.1841475,0.156760976,3.94098675,0.9825093
6,2.75,0.24675,1.13425,3.3525,-5.0935,1.406,-0.00683791,-2.5549975,4.12037,4.9452625,1.176365,2.61556,1.98599,1.39537,0.26939675,23.5882,21.261925,100.16325,100,0,375.2395,26.8751,0.577235,0.46310825,0.3161255,0.2450965,0.1790585,0.158074565,3.94098675,1.00534025
6,3.25,0.264,1.182,3.35125,-5.926,6.083,-0.0070982575,-2.887975,3.07156,4.495325,0.66103775,2.87406,1.81056,1.38565,0.24595675,23.491425,21.050625,100.17225,100,0,375.69575,27.0732,0.56569025,0.44989375,0.2935635,0.2348555,0.18968275,0.181774834,3.94098675,1.0015702
6,3.75,0.286,1.206,5.09,-5.554,4.367,-0.007823585,-2.780975,4.491625,4.7050125,0.6983055,2.584005,2.28766,1.37435,0.234861,23.42655,21.0951,100.174,100,0,378.6535,26.650375,0.545227,0.4638265,0.276547,0.24248,0.23377675,0.26083333325,3.94098675,1.00801145
6,4.25,0.3155,1.1965,5.04,-3.10275,3.352,-0.007470455,-2.85709,4.26775,5.6229925,0.441573,1.29775,2.24572,1.3364575,0.25164375,23.228525,20.86105,100.195,100,0,380.91025,26.6195,0.5584815,0.45957825,0.29277625,0.22998925,0.24464325,0.208694138,3.94098675,0.9164166
6,4.75,0.343,1.288,5.773,-3.804,4.464,-0.009054025,-3.3817475,5.00773,5.644645,1.7202675,2.05174,1.4473,1.3550975,0.2631875,23.186375,20.751975,100.2115,100,0,384.1665,26.4816,0.57316425,0.45888225,0.303933,0.226648,0.21890225,0.208622271,3.94098675,0.909273225
6,5.25,0.288,1.2305,5.7665,-4.7045,1.316,-0.011310675,-2.74821,8.812795,4.75162,2.06303,9.90997,3.10312,1.407115,0.28380575,23.20715,20.809925,100.22925,100,0,386.1435,26.4859,0.61610975,0.46004825,0.31727575,0.221912,0.222429,0.202086215,3.94098675,1.692515875
6,5.75,0.25675,1.1245,4.7575,-3.85525,4.79575,-0.022190925,2.81185,16.852525,5.64527,7.16277,15.222825,2.4879275,1.4338825,0.317432,23.43225,20.9816,100.242,100,0,384.7715,27.046475,0.65873175,0.50342325,0.3590855,0.252878,0.175037,0.25971363775,42.4886475,7.280810125
6,6.25,0.326,1.1015,3.6425,2.7935,16.497,-0.043179825,23.380875,45.7913,6.430225,14.72245,20.3294,1.05602,1.5628175,0.3991185,23.87105,21.33245,100.267,100,0,381.6455,28.0169,0.8101585,0.61596925,0.4451125,0.354356,0.174632,0.242398332,119.58777,16.014135
6,6.75,0.405,1.286,3.062,20.972,40.189,-0.067139,52.1449,72.015,7.33832,19.1017,18.60165,-0.65701,1.68966,0.457894,24.502,21.961,100.288,100,0.3669325,375.251,28.6061,0.910954,0.688382,0.501927,0.400358,0.167692,0.277178072,215.3736125,25.408535
6,7.25,0.447,1.555,2.3805,55.8885,76.27,-0.104464,83.2384,104.7725,2.191775,19.7547,15.102725,-1.5192275,1.87491,0.507871,25.2876,22.6825,100.308,100,1.6444925,368.13075,29.055875,1.02367,0.755401,0.554998,0.432802,0.12965225,0.32624294825,314.18525,34.206415
6,7.75,0.577,1.975,-1.586,80.679,125.601,-0.113075,116.352,154.528,-3.21198,18.7295,13.923875,-1.5077575,1.90202,0.575048,26.232,23.5005,100.331,100,3.2803425,361.4975,29.098475,1.12278,0.863412,0.609012,0.445904,0.1152335,0.352680893,420.07605,43.90987
6,8.25,0.5865,2.05475,-1.8845,98.09675,171.6405,-0.13138375,142.74425,179.43575,-4.2666525,16.20725,9.9122125,-1.10355,2.051235,0.60070175,26.99205,24.241025,100.33875,100,4.6989475,357.991,29.255875,1.1977675,0.89256225,0.62133125,0.47362575,0.101243,0.407757542,523.7514,52.13905
6,8.75,0.62875,2.264,-7.29875,135.06775,217.31675,-0.1524005,157.3205,224.85975,-5.6876,16.85825,5.9704725,-1.0740675,2.09536,0.6119725,27.6614,25.07645,100.335,99.379,6.48448,352.69,29.373025,1.247215,0.997983,0.675316,0.49563,0.0920376,0.4576017905,622.81575,60.77767625
6,9.25,0.6345,2.182,-8.669,173.4385,250.913,-0.16023625,184.5335,242.658,-7.585475,14.83685,3.39409,-0.757452,2.0877475,0.60952525,28.316375,25.746975,100.335,96.2133,8.33463,349.785,29.3755,1.22214,1.0816825,0.6700455,0.52054375,0.0817491,0.52874908,708.2062125,67.76175375
6,9.75,0.6715,2.379,-9.3965,205.547,262.546,-0.18138575,204.0995,281.296,-8.4499075,15.65065,4.42726,-0.454004,2.241915,0.6328745,29.0484,26.31385,100.33375,91.6577,9.82215,347.3195,28.8856,1.3073175,1.081805,0.7165015,0.5510845,0.07482035,0.561999019,784.05325,74.80338375
6,10.25,0.7355,2.5345,-9.3805,230.7745,297.73,-0.19115525,211.76125,287.569,-8.048155,13.782225,2.522005,-0.249682,2.20193,0.653771,29.59885,26.95025,100.33125,87.452675,11.13455,345.405,28.330375,1.3400775,1.1487175,0.72655625,0.57330075,0.0691,0.6077274955,855.092075,81.10925625
6,10.75,0.681,2.5105,-9.2275,246.5945,274.73875,-0.20956375,239.31175,312.544,-9.344645,11.707875,6.25087,-0.160429,2.2162025,0.6904625,30.053675,27.431425,100.31625,83.1371,12.7276,344.4295,28.3171,1.3776475,1.1797125,0.76028025,0.5925265,0.068353675,0.600122639,908.55965,86.0509175
6,11.25,0.65625,2.41125,-8.20075,291.25425,286.32925,-0.18281275,251.9625,319.14025,-8.6732175,11.7741,5.4525375,-0.078379025,2.2561,0.70692225,30.380725,27.989325,100.29725,80.29555,13.72495,343.408,28.16515,1.3946175,1.251095,0.7722385,0.637584,0.068714825,0.60164397825,964.4796875,90.05843125
6,11.75,0.74575,2.4145,-9.25475,280.97175,295.1505,-0.23409425,269.73225,333.182,-8.66877,12.093,4.8459225,0.054202825,2.304465,0.71443925,30.8363,28.3725,100.26525,77.7076,15.13045,343.06025,27.77735,1.48474,1.2308825,0.764336,0.64947475,0.0670791,0.62713146875,983.1845875,91.05935625
6,12.25,0.74275,2.7635,-7.2935,312.0345,301.184,-0.22143975,271.2515,328.319,-7.8057,8.113865,4.80647,-0.0561,2.31735,0.706201,31.189325,28.687925,100.234,75.6398,16.2303,342.40125,27.5379,1.4656775,1.2685875,0.7742705,0.64743725,0.066806975,0.607721364,1001.2657875,92.85555125
6,12.75,0.76275,2.62975,-7.13375,318.492,292.5225,-0.24128675,258.04975,321.083,-7.9341225,8.8979325,5.00765,-0.02295625,2.3040075,0.6951765,31.533025,28.959825,100.221,72.55535,17.08315,341.6355,27.354875,1.4539175,1.269605,0.7603025,0.640731,0.06517995,0.6304292375,995.7756,91.582065
6,13.25,0.713,2.52275,-6.832,337.49,303.60525,-0.227185,255.55175,303.8095,-7.15076,7.268785,5.961315,0.0342476,2.3380425,0.73756675,31.72965,29.375025,100.20175,72.70425,17.27935,341.00775,26.9476,1.4356125,1.2613225,0.766566,0.62202125,0.062080875,0.5732940885,981.08345,89.91055
6,13.75,0.708,2.50275,-5.8715,319.00575,315.18575,-0.2610115,251.434,308.752,-6.36885,6.728865,6.5292275,0.073731575,2.4118075,0.7141015,31.9595,29.573075,100.1595,72.847825,17.52255,340.731,27.31925,1.4669125,1.2982775,0.769393,0.60702775,0.0604558,0.5877918815,932.60185,86.27375
6,14.25,0.705,2.73775,-4.9665,285.6405,281.616,-0.2572305,210.16275,290.858,-5.90178,5.9049675,6.07417,0.0863162,2.430485,0.68452325,32.1164,29.546925,100.139,71.7268,18.5935,340.6235,26.9688,1.47126,1.2334575,0.75105975,0.5619755,0.05777235,0.588538141,902.4514625,84.5474975
6,14.75,0.6475,2.213,-4.868,256.5975,261.1515,-0.23126725,203.58375,291.9585,-5.3742775,5.92891,10.2202,0.08152695,2.368375,0.705186,32.182525,29.79785,100.117,71.9237,18.82085,340.201,27.26065,1.4471375,1.2206025,0.75061525,0.55428075,0.0552169,0.595264901,834.8837625,77.77462375
6,15.25,0.7025,2.475,-4.2525,229.836,272.48,-0.19658475,158.92025,250.581,-4.05304,4.82945,9.609095,-0.053239925,2.42597,0.691247,32.03585,29.6284,100.10025,74.99545,18.476125,339.643,27.58225,1.429075,1.1873875,0.7385545,0.4789805,0.0537,0.56901459425,764.0819,70.3906725
6,15.75,0.714,2.398,-3.376,189.336,261.05,-0.19076425,128.32475,241.629,-3.826105,3.3224975,12.0714,0.0829,2.33566,0.667626,31.934875,29.617075,100.0985,75.5396,18.2716,339.88675,27.4607,1.3788375,1.14757,0.72485475,0.41663475,0.0488091,0.53852833,691.13385,67.27277625
6,16.25,0.74325,2.50975,-3.281,164.05225,207.66325,-0.158335,86.083525,221.4215,-3.29899,2.49845,16.27465,0.1145665,2.3203525,0.6382935,31.855225,29.562025,100.08675,77.0207,18.37065,339.565,27.62145,1.3338725,1.074835,0.6946665,0.37151075,0.04682495,0.544468972,579.9569,55.65568875
6,16.75,0.6615,2.398,-2.708,120.798,196.7885,-0.1632385,65.700475,200.605,-2.336095,1.4882975,12.840425,0.272945,2.2854875,0.60934725,31.660625,29.512275,100.07625,80.1556,18.221275,339.358,27.5825,1.2386225,1.006325,0.67545125,0.2847775,0.04130955,0.50548197225,487.6401125,48.12784375
6,17.25,0.691,2.2905,-1.4795,73.7455,184.3165,-0.15331275,29.52275,164.19925,-0.703399,-0.406935,13.11735,0.382599,2.1650075,0.59339125,31.254525,29.098525,100.075,81.4342,17.600525,339.34225,28.042325,1.1838275,0.8904755,0.63674975,0.22769125,0.03911695,0.50754721625,397.39375,40.63047
6,17.75,0.6095,2.2225,-0.021,33.57,153.0015,-0.10847175,8.4814675,104.951,0.681805,-2.97,16.64715,0.44076675,1.993025,0.533728,30.771975,28.7137,100.0795,83.8309,16.31355,340.39225,28.47,1.078905,0.86323375,0.58620775,0.19791175,0.04249285,0.47742886925,295.86105,33.08748625
6,18.25,0.531,1.9925,0.8105,3.5055,97.83,-0.0603895,-1.74477,57.5152,1.35919,-5.7852,20.1469,0.635001,1.90608,0.471002,30.2805,28.0233,100.105,86.927,14.2975,340.38725,28.5618,1.01571,0.778859,0.52585,0.250855,0.039246125,0.39269561,195.0704625,23.46986875
