DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,22.75,0.4306058707,-2.148,8.665,0.916757226,4.060692,31.2206835775,89.65,92.4525,4.674,0.15452365,0.168625,1.7243575,0.565,-0.8775,-0.50775,-0.866,-1.40925,-0.962,-0.728,-1.65575,-0.839,426.03
1,23.25,0.4225771556,-1.9465,8.685,0.81786312475,7.40009945015,20.4194274999999,89.55,92.4,4.994625,0.17868555,0.218125,1.82791025,0.606,-0.797,-0.5235,-0.88175,-1.4135,-0.961,-0.7345,-1.64825,-0.8405,425.865
1,23.75,0.4282407655,-1.513,8.016,1.31816025,10.344274024,26.708875,89.3,92.455,5.262875,0.1590069,0.388625,1.8635625,0.6925,-0.8125,-0.52175,-0.889,-1.418,-0.953,-0.741,-1.65725,-0.842,426.1
2,0.25,0.51633366975,-1.95275,9.115,1.0033891409,8.9758885,23.698564146,92.15,91.955,4.27879999999999,0.109203125,0.133199999999999,1.848339,0.655375,-1.4734,-0.9451,-0.93275,-1.141875,-1.565625,-1.081875,-0.989,-1.70935,429.36
2,0.75,0.533296786575,-2.329125,8.68,0.91897899975,19.68395,16.16479,91.4375,91.9,4.91619999999999,0.15930715,0.1476,1.932473,0.56175,-1.3509,-0.85135,-0.9111875,-1.1435,-1.527625,-1.075875,-0.9679375,-1.6414,429.4
2,1.25,0.475372529975,-2.545875,8.54625,0.86963403045,11.1574,11.74502,91.725,91.9,6.652,0.1508587,0.264425,1.93142125,0.699375,-1.3191,-0.83715,-0.93825,-1.091625,-1.544625,-1.093625,-1.0178125,-1.72595,428.975
2,1.75,0.466710637625,-2.32975,8.71,0.847244211,16.785289544,16.7751984425,91.425,91.9,5.08397500000001,0.1534137,0.257550000000001,1.9271875,0.654125,-1.2978,-0.837,-0.946375,-1.07475,-1.563,-1.13525,-1.0425625,-1.72285,430.0375
2,2.25,0.4901103426,-2.44075,9.84875,0.7561507314,9.13034799999998,11.685278473,91.575,91.9,4.02275,0.18410385,0.091275,1.8753985,0.658125,-1.306,-0.801000000000001,-0.960125,-1.159625,-1.5595,-1.175,-1.0448125,-1.7244,430.105
2,2.75,0.47743719635,-2.27525,9.85,0.791448650000001,6.979775,23.0135125,91.1,91.9,2.76512500000001,0.1963265,0.100425,1.8800595,0.682125,-1.3046,-0.8143,-0.96625,-1.15975,-1.57975,-1.202,-1.0465,-1.72785,430.28
2,3.25,0.4437561641,-1.998625,9.82,1.0331429065,16.126915,21.37192187375,91.875,91.85,4.4708,0.16256045,0.0546500000000002,1.894001,0.647375,-1.328,-0.843500000000001,-0.9715,-1.158625,-1.55875,-1.209625,-1.044,-1.72925,429.265
2,3.75,0.468891551075,-2.059875,9.27875,0.861198899999996,13.95388,15.99243,92.0375,91.8,5.00325,0.171451,0.1304,1.9112785,0.606875,-1.3431,-0.845050000000002,-0.97675,-1.16,-1.5865,-1.215,-1.04575,-1.7224,431.59
2,4.25,0.4728389855,-2.330375,9.11625,0.83298500625,9.73825250000001,15.7355,92.25,91.8,3.78474999999999,0.3296704,0.238949999999997,2.18409225,0.7215,-1.2507,-0.8031,-1.059375,-1.276875,-1.453875,-1.126625,-1.053625,-1.7291,430.0625
2,4.75,0.462655471075,-2.241125,9.45875,0.94526328955,11.06895798625,23.481956307,92.175,91.85,2.52,0.319196675,0.11275,2.02181125,0.653875,-1.4157,-0.89355,-1.0565,-1.277,-1.455375,-1.129375,-1.0539375,-1.70515,429.225
2,5.25,0.466909318,-2.07675,9.01,0.948473002699998,9.2221175,19.736005,92.0875,91.85,3.8685,0.2931756,0.045,2.001623,0.68575,-1.4928,-0.98545,-1.057875,-1.2755,-1.450125,-1.134,-1.0510625,-1.65545,430.54
2,5.75,0.47811152245,-2.362625,9.24625,0.948873533,10.900032623,15.502435,92,91.8475,5.133,0.2960564,0.11475,1.95532875,0.64875,-1.5498,-1.03255,-1.05775,-1.274125,-1.456625,-1.14175,-1.056875,-1.6283,431.17
2,6.25,0.449562712025,-2.07275,9.6425,0.913855437975,9.8335,20.2585,91.9,91.9,5.83599999999999,0.3080817,0.105199999999999,1.90449025,0.541875,-1.5916,-1.1033,-1.0581875,-1.273625,-1.4555,-1.14475,-1.05975,-1.62595,429.775
2,6.75,0.433839565,-1.9695,8.7675,0.997799378849998,8.73013999999997,20.199865,91.8625,91.9,4.41415,0.3179843,0.0263750000000006,1.919629,0.66925,-1.6071,-1.1076,-1.057625,-1.27,-1.460625,-1.147875,-1.05625,-1.6371,430.26
2,7.25,0.489779,-1.69175,9.2125,1.073687275,10.4569625,20.6258675,91.8,91.945,4.50115,0.3143072,0.0945999999999997,1.94894125,0.635875,-1.6265,-1.1364,-1.082375,-1.278625,-1.459,-1.196375,-1.062,-1.7038,430.505
2,7.75,0.438545,-1.701625,8.93625,0.94815678,9.7988,18.071833475,91.05,91.9475,4.72185,1.285074,0.354599999999999,2.7322135,0.998625,-1.6461,-1.16195,-1.05925,-1.269625,-1.480125,-1.19875,-1.0671875,-1.72125,429.935
2,8.25,0.50049835,-1.57625,9.24375,0.847,13.2727575,21.298145,90.5875,91.95,3.24220000000002,11.12602,4.64900000000001,11.0746825,4.681875,-1.6248,-1.16405,-1.0585,-1.286125,-1.4785,-1.197875,-1.0641875,-1.7078,429.94
2,8.75,0.4767956228,-1.812875,8.87625,1.1195285,9.7669345,15.3532425,90.275,92,3.28859999999998,40.0844175,25.6239999999999,37.168925,15.81875,-1.6429,-1.1734,-1.06325,-1.281375,-1.4815,-1.201375,-1.0671875,-1.67815,433.759999999999
2,9.25,0.442662716,-2.0515,8.38625,1.08512881815,11.0211,16.5789025,90.3875,92,6.65159999999999,90.15991,67.0339999999999,84.8557575,36.75125,-1.6318,-1.1478,-1.113125,-1.2583125,-1.48025,-1.20475,-1.06925,-1.6098,430.53
2,9.75,0.4402802443,-2.520625,9.6425,1.1933326453,7.4484585,21.7084,90.4875,92,9.514,159.656675,114.065,145.0789,66.9275,-1.6361,-1.1819,-1.109125,-1.247625,-1.476,-1.19875,-1.0676875,-1.60825,431.61
2,10.25,0.45466745,-1.9685,9.325,1.10470850775,10.166275,21.2628,90.4,92.05,11.36225,239.7928,137.22,203.927325,94.5875,-1.6561,-1.19935,-1.09875,-1.24825,-1.472,-1.172125,-1.0650625,-1.6025,453.92
2,10.75,0.485894846649999,-2.286125,9.465,1.125112060625,7.944790398325,17.3456,90.6875,92.05,9.44375,321.5923,166.225,279.7028,118.9875,-1.6407,-1.1965,-1.08,-1.2435,-1.471125,-1.173125,-1.064875,-1.6014,449.6
2,11.25,0.47840515305,-2.3039,9.68599999999999,1.0630972742,17.059425,23.692065,90.58,92,11.488,376.405025,195.19,323.7012,141.02,-1.64245,-1.191175,-1.1003,-1.2476,-1.4708,-1.1773,-1.0666,-1.594925,433.4625
2,11.75,0.481512,-2.0245,9.307,1.08,11.3946399999999,23.4107375,90.28,92,10.22475,440.9904,228.2275,364.8792,161.63,-1.6429,-1.205275,-1.0979,-1.2446,-1.4757,-1.1793,-1.0701,-1.59145,429.36
2,12.25,0.435272937375,-1.7011,9.493,1.14306488755,12.98816,18.6550571089999,90.19,92.045,14.186,482.9625,241.4,400.5576,171.48,-1.672075,-1.1765,-1.0936,-1.25265,-1.4803,-1.1811,-1.07005,-1.5870625,429.23
2,12.75,0.4114158972,-1.132625,9.8025,0.958706927,17.864575,24.2786293885,89.8875,92.04,14.3075,503.6904,247.35,426.445325,177.9,-1.6473,-1.16045,-1.088375,-1.2395,-1.485875,-1.159375,-1.073,-1.53515,429.3
2,13.25,0.451603,-0.833875,9.90375,0.991,14.01055,20.363745,89.1875,92.03,11.7385,509.1018,268.545,428.4281,180.6875,-1.6017,-1.13085,-1.0539,-1.2371,-1.4911,-1.1512,-1.06395,-1.581575,428.6
2,13.75,0.456155475,-0.794,9.541,0.96415769025,6.542293,23.788575,89.39,92.03,12.002,509.69425,263.58,424.96115,181.33,-1.61555,-1.1447,-1.0513,-1.2363,-1.4821,-1.202,-1.07195,-1.666275,429.61
