DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,19.25,394.089854075,2.598384775,-16.26401765,-17.491111325,96.218532575,84.361291625,0,0.521343425,0.026829475,-0.1527564,-31.46258435,-7.2438005,-1.050969225,0.14660625,0.13218955,0.032066325,0.038645575,0.00497555,0.0827917,-2.144419125
1,19.75,393.03491595,2.53048115,-15.996085025,-17.4128523,96.2193801,75.8839719,0,0.19350385,0.03210385,-0.164168825,-38.7583606,-6.09439645,-1.0079681,0.14910675,0.142861375,0.030570275,0.031295975,0.0061206,0.0875532,-1.730164
1,20.25,395.527982275,2.43082815,-18.369610725,-19.2649026,95.999535725,69.947771975,0,0.39546455,0.025936725,-0.173975225,-36.9717906,-7.27501235,-1.373247575,0.1352389,0.138852875,0.029358425,0.031271525,0.0053023,0.084399,-1.89133825
1,20.75,392.65326295,2.4083682,-15.794908,-17.019167075,96.254548375,59.50219855,0,0.24939825,0.031921625,-0.155304125,-33.393288175,-6.6936998,-0.630046975,0.150030625,0.12197025,0.02533475,0.03749375,0.00609165,0.04665225,-1.76217175
1,21.25,396.439008975,2.3655679,-17.1317937,-19.380500275,96.302401825,84.40112755,0,0.423722,0.0311546,-0.189807375,-44.22070275,-7.723033,-1.316705975,0.1584373,0.1502426,0.0272256,0.0332199,0.00508685,0.04503585,-1.967676875
1,21.75,393.8840442,2.3316154,-18.960212025,-19.508048125,95.81865605,56.59908065,0,0.334235275,0.029047675,-0.181986375,-55.567234875,-7.177211,-2.164692875,0.169650825,0.109405975,0.027441,0.0392233,0.005374075,0.0503065,-2.19296725
1,22.25,396.5832802,2.161833425,-19.2150355,-19.55351045,95.8058658,72.71860435,0,0.3953798,0.0405631,-0.167191,-38.05022945,-5.8283419,-0.981257325,0.1715055,0.1489597,0.027493,0.034689,0.00528035,0.04583055,-2.029520125
1,22.75,396.5447758,2.127828375,-19.28510055,-19.8095675,96.015883675,57.136120375,0,0.211627075,0.023772925,-0.179997725,-46.284204,-5.41685955,-1.20850925,0.14841245,0.1213366,0.023049825,0.037794675,0.0088062,0.0405497,-2.285328125
1,23.25,396.4489632,2.296887675,-19.86644745,-19.9683932,96.1045808,74.17898,0,0.26805035,0.0255406,-0.227129,-42.722159525,-5.6451612,-0.7567419,0.15748375,0.1301973,0.02711705,0.0346709,0.0069721,0.06003895,-2.26319475
1,23.75,396.22086605,2.119995175,-19.993632975,-20.186086325,96.06375135,68.24539785,0,0.207000325,0.030500175,-0.236032725,-54.33089755,-7.56092295,-1.1668686,0.1503884,0.117305275,0.026235,0.03304595,0.006561375,0.0296338,-2.089154
2,0.25,389.58187195,1.59706,-17.631482375,-18.21013745,96.130214525,67.450217375,0,0.3702786,0.021184025,-0.212860675,-49.3650446,-5.859928375,-1.3425866,0.141377225,0.13067,0.021803425,0.039221075,0.00780915,0.0432572,-2.6533129
2,0.75,388.2594435,1.51983325,-17.9525392,-17.8410486,96.0685087,69.90400105,0,0.3171284,0.0228626,-0.214516,-49.3921908,-6.9650245,-0.7081385,0.1385254,0.1383072,0.0322792,0.048938,0.0072914,0.0388882,-2.2521518
2,1.25,387.195331375,1.42722875,-18.086131,-18.22032825,96.042814,56.7626595,0,0.1784588,0.030433,-0.2167676,-39.5617737,-9.09962925,-1.481665625,0.1170986,0.1132448,0.0269368,0.0416952,0.007449,0.0562671,-2.5213132
2,1.75,387.02353875,1.7838335,-18.126612575,-18.192598,95.9939695,64.7434578,0,0.297201575,0.0214692,-0.192391425,-46.638467525,-11.1915213,-1.16252825,0.116667525,0.12694225,0.023588775,0.037396325,0.0077115,0.038620325,-2.6458691
2,2.25,389.1133156,1.64601395,-18.53211185,-20.066482525,95.971611475,56.4479175,0,0.31832315,0.01915945,-0.2310251,-42.172085125,-6.407955925,-1.691321,0.1248801,0.11147025,0.0309368,0.0387172,0.0067016,0.0453311,-2.6936468
2,2.75,388.404672,1.251100625,-19.823205275,-21.7033185,95.95572975,53.1124416,0,0.240372775,0.025186825,-0.18510555,-39.01026175,-6.872142475,-2.3252865,0.112084725,0.107856925,0.02739585,0.033983525,0.005317,0.0422402,-2.449091
2,3.25,387.49266925,1.0036485,-20.68396365,-18.7534555,95.93932675,43.985585,0,0.308527425,0.023751275,-0.187388075,-45.978337925,-8.688146275,-0.98669625,0.122625625,0.09734095,0.024023125,0.0410203,0.00602825,0.0408322,-2.3566664
2,3.75,387.66988525,1.23983335,-20.788805,-18.253925,95.682367575,61.9827431,0,0.220414,0.0347668,-0.1944428,-42.1080749,-6.762655,-1.329287,0.1239156,0.1362578,0.0235668,0.0369234,0.00703975,0.038397825,-2.5908691
2,4.25,386.80485485,1.2672792,-21.5389745,-19.70360845,95.817324875,63.0091128,0,0.341183,0.02907425,-0.302791,-42.915897025,-7.16743995,-0.9049579,0.12461725,0.1255735,0.0272225,0.04654,0.0057135,0.038978375,-2.5540101
2,4.75,386.789925975,1.71472535,-21.66021615,-19.02557525,95.890079,81.302797875,0,0.206314825,0.02820085,-0.3025411,-41.8637634,-4.70835895,-0.8903715,0.14073215,0.115438775,0.02990835,0.03830335,0.00614835,0.00849040000000001,-2.6858484
2,5.25,387.550725175,1.4161075,-21.9970192,-19.615841,95.7869165,71.2721375,0,0.2637716,0.02269335,-0.28652975,-39.2274633,-5.41672835,-0.764665925,0.122599775,0.10353525,0.027406475,0.036946,0.005482875,0.051201175,-2.465232
2,5.75,386.8435779,0.844494525,-22.493457625,-20.2130567,96.02431855,51.6795873,0,0.330986125,0.030891375,-0.27170825,-39.0838706,-6.88130125,-1.58934185,0.16647875,0.119200125,0.023653,0.033388625,0.0054356,0.045545,-2.3480002
2,6.25,386.905906025,1.58967315,-22.8684013,-20.1493969,95.753996925,71.802663025,0,0.26818135,0.02608685,-0.21428715,-39.119044,-3.92587155,-1.236759675,0.14423045,0.1166257,0.0245916,0.0453995,0.0057156,0.042500425,-2.4399997
2,6.75,387.0858733,1.8522315,-22.990673875,-20.1480737,95.86849095,55.345015975,0,0.274725175,0.027345225,-0.223096925,-36.33569625,-6.316243,-0.63126355,0.137489525,0.103241275,0.02510415,0.041834875,0.00587775,0.0532388,-2.5151719
2,7.25,386.987172625,1.76185675,-23.37046875,-22.060343875,96.045682,70.0505957,0,0.26996575,0.02494575,-0.301297,-47.0959428,-5.45793495,-0.629632375,0.1105935,0.1080485,0.02663975,0.04528775,0.0056385,0.0459734,-2.6464947
2,7.75,387.215725125,1.8578291,-22.339593975,-22.08241425,95.6084235,75.65638655,0,0.2904802,0.0232843,-0.223829075,-27.794917925,-6.04832215,-1.853560625,0.120103,0.10421485,0.024832075,0.04227545,0.005851875,0.046651,1.204899
2,8.25,387.3050888,1.9175718,-22.4158262,-22.108117775,95.622626925,71.0734269,0,0.21105775,0.02910715,-0.194867975,-30.0184301,-5.501528,-0.725810025,0.146615325,0.1290129,0.032645775,0.037408225,0.00459515,0.043092,6.1698584
2,8.75,387.3214735,1.898212,-22.0636985,-21.7847028,95.6246044,77.369031375,0,0.309597,0.029506,-0.2511975,-25.7223016,-3.1654168,-2.8457112,0.1778798,0.1237253,0.0344921,0.0359953,0.005809025,0.04861255,11.9947881
2,9.25,387.3880125,2.10724255,-20.680833375,-18.857477525,95.68221955,73.4753096,0,0.235105125,0.027259,-0.26493525,-25.0989145,-3.730411125,-0.59738265,0.1645725,0.121242125,0.0365155,0.0482245,0.005757875,0.0801479,21.8927981
2,9.75,386.95946875,2.021687525,-20.831421,-20.758474375,95.610637875,77.33486985,0,0.2271448,0.0397022,-0.2718474,-48.465441925,-0.807508375,-4.25023575,0.160999,0.136324,0.0488114,0.0505146,0.006172,0.05322775,25.6648484
2,10.25,387.880064575,2.0573668,-19.85812965,-19.2452018,95.866464775,67.486281225,0,0.34319475,0.0518471,-0.24150485,-42.5526568,-2.161495,-0.80916725,0.1915358,0.1640452,0.0444455,0.0432799,0.007531575,0.0183302,32.3142427
2,10.75,388.0962982,2.2787104,-18.239739,-16.8195198,95.6947318,65.0898039,0,0.343644125,0.030732625,-0.290796,-33.262931,-3.610252,-0.9493264,0.140486,0.13291175,0.03556075,0.047525875,0.0069207,0.09273455,42.1262425
2,11.25,387.849535,2.275554,-17.4181542,-15.720224,95.698852,68.7851359,0,0.5184684,0.0428628,-0.3389468,-40.01262205,0.255091,-0.922682,0.2216302,0.178174,0.061654,0.0519064,0.006164,0.1405285,45.2155051
2,11.75,388.0135373,2.250482125,-15.882778,-16.16620535,95.810786,68.267925,0,0.695286,0.0507905,-0.29396075,-47.5395834,-5.653010375,-1.01558085,0.171006,0.1772575,0.068927,0.04867825,0.0071515,0.150948875,61.2489396
2,12.25,387.060952225,2.310693425,-14.63972005,-14.9815618,95.7575251,68.047,0,1.000697775,0.0431627,-0.360099125,-45.1474746,-2.0556533,-0.6198728,0.244488725,0.2306743,0.079762075,0.051459525,0.006514525,0.1863967,49.6034646
2,12.75,387.108484,2.3341855,-14.193605025,-14.64875865,95.7444516,64.81031835,0,0.775656125,0.05315605,-0.3629603,-43.71085225,-0.876404875,-0.98003335,0.252910425,0.268303875,0.09547525,0.055587825,0.00843925,0.187573775,61.9654039
2,13.25,387.24127385,2.3838564,-13.0104437,-13.2793939,95.896335575,66.02878005,0,0.70670955,0.0524819,-0.38233905,-46.20534605,-0.5888697,-0.98785225,0.2501794,0.23517815,0.0869672,0.0618528,0.00864035,0.2167001,56.8382425
2,13.75,387.3295995,2.440793025,-13.04394,-13.3326597,95.8096043,66.06454695,0,0.870877,0.07168325,-0.4032525,-41.6798968,-0.5401287,-2.0181997,0.22325075,0.3141405,0.085881,0.0606005,0.0074194,0.231193375,53.6502628
2,14.25,388.335822,2.6517427,-11.8643685,-12.109464,95.770202,63.870689625,0,0.734019425,0.064118875,-0.389923475,-43.9494728,-0.887235775,-0.663012,0.290926125,0.262162325,0.069874925,0.064101525,0.007593,0.20078565,48.5517676
2,14.75,387.6457035,2.53762145,-12.604768,-12.8749522,95.7251327,61.530825325,0,0.9354017,0.05517315,-0.4093191,-45.5225936,0.0190058500000003,-0.6716108,0.28452785,0.23568785,0.08759005,0.0542738,0.0062121,0.23054605,42.7888184
2,15.25,387.4294669,2.65410755,-12.560896175,-12.8128604,95.7555325,57.2071093,0,0.572703,0.061056975,-0.370916,-52.5077987,0.9400862,-0.7791363,0.2552155,0.261702175,0.08711065,0.0540759,0.0061547,0.203042225,29.227283
2,15.75,388.280826125,2.36696125,-12.3305741,-12.670261225,95.841537275,58.71952805,0,0.79172135,0.066949125,-0.395971,-51.52491525,-1.7327149,-0.53135395,0.21267125,0.22766775,0.059550775,0.04273405,0.0055941,0.17856725,22.2984849
2,16.25,387.6097635,2.5253272,-13.168968725,-13.50717125,95.75562075,62.5533696,0,0.684916625,0.048099825,-0.382756125,-57.8180035,-0.623998,-1.204683,0.185303675,0.202493725,0.0547896,0.04715935,0.00528,0.115194475,13.6026667
2,16.75,387.530083125,2.4989874,-13.425266125,-13.758218975,95.88911115,62.484591875,0,0.676356875,0.032639375,-0.283637125,-52.1983001,-3.408207,-0.59575355,0.19545625,0.158066625,0.04537725,0.047742125,0.005312925,0.0858432,7.8657375
2,17.25,387.0089738,2.42735575,-13.5707364,-13.91108735,95.89520645,63.188137075,0,0.7500954,0.0343208,-0.3067542,-57.3022222,-5.6423005,-0.340925575,0.1537622,0.1298114,0.0432176,0.0449232,0.005158675,0.064575825,3.4254142
2,17.75,387.364884425,2.29244825,-14.229623475,-14.528194525,95.89055925,63.3428349,0,0.67435245,0.033549225,-0.241388625,-63.70334425,-8.31196385,-0.47649935,0.1518709,0.131677725,0.03184895,0.04513905,0.0063129,0.0493178,-1.7154646
2,18.25,387.4333309,2.266909175,-14.69491745,-14.9688441,96.0512153,65.7027038,0,0.435906725,0.0262803,-0.282208375,-63.97189645,-9.71834875,-0.7224521,0.153013825,0.125586725,0.03028345,0.045237775,0.0069517,0.040690625,-1.8369796
2,18.75,387.487518725,2.26224915,-14.8331505,-15.025323025,96.02557225,68.5609196,0,0.4199203,0.0239314,-0.2762315,-69.054840275,-4.4732662,-0.6789441,0.1204576,0.1186956,0.0320779,0.0389143,0.00543205,0.0537084,-2.1091517
2,19.25,387.68998825,2.18397475,-15.29288155,-15.60592275,95.88112625,69.17916955,0,0.3786534,0.02317955,-0.26390655,-68.4522321,-7.84587925,-1.1024805,0.12333275,0.1017775,0.0264045,0.04300885,0.005929,0.043953,-2.3079595
2,19.75,387.7612422,2.3639707,-14.838752,-15.27610895,95.850461125,71.164157425,0,0.4925552,0.0258984,-0.2795646,-62.2986785,-5.645325175,-0.767116275,0.1439766,0.1071244,0.0236528,0.0362446,0.0059311,0.0582554,-2.5491518
2,20.25,387.87629,2.0458415,-15.7035525,-15.952078,95.83616325,65.77937805,0,0.432323,0.031211,-0.292295,-68.45029525,-5.045319,-0.5970995,0.12915,0.1328035,0.025369,0.0328535,0.005948,0.0564827,-2.4508185
2,20.75,388.896465575,2.122339425,-15.6088515,-15.92525,96.161887,77.35161125,0,0.232516,0.0297048,-0.2829155,-71.12670025,-4.9808448,-0.555370875,0.1465056,0.1275708,0.0298912,0.0381894,0.0050861,0.0497496,-2.1340608
2,21.25,388.52327035,2.00633635,-16.239952375,-16.6674445,96.178301475,74.2756176,0,0.287543625,0.029478375,-0.276754,-65.13801375,-7.26303055,-0.4207358,0.127555375,0.123125125,0.023765375,0.046235,0.005853375,0.0507978,-2.1601414
2,21.75,388.679003,2.169863225,-16.295191,-16.682761,96.012728,77.82799755,0,0.3942742,0.0272288,-0.3205292,-62.7250954,-4.720996175,-0.423033,0.1480602,0.140665,0.029966,0.0427502,0.005292,0.0377708,-2.5444646
2,22.25,388.06319475,1.882209,-16.4792096,-16.81082245,96.114937525,75.4336084,0,0.2255674,0.0261346,-0.272003,-54.733016175,-6.236015525,-1.383239475,0.1231198,0.123449,0.0246692,0.037998,0.006038725,0.04546705,-2.3014443
2,22.75,387.728460375,1.58964475,-16.527293475,-17.004349875,96.077660125,73.882925,0,0.282008825,0.024293425,-0.228649,-51.938802,-16.474144625,-0.933964625,0.122034775,0.116187275,0.0258083,0.040792175,0.005174,0.04313655,-2.0184343
2,23.25,387.7914838,1.9409105,-17.0093452,-17.046631,96.0644826,78.01681805,0,0.324302,0.023686,-0.2580074,-55.08957825,-7.995539625,-0.6975531,0.1286434,0.1149206,0.0216608,0.0428262,0.0070587,0.0508306,-2.2453533
2,23.75,388.297972025,1.7592737,-17.042372775,-17.6213948,95.738711175,76.8678111,0,0.4113803,0.025212325,-0.19754585,-45.54842695,-7.4173845,-0.81465555,0.1448084,0.122087925,0.03005305,0.03700245,0.00705005,0.05403995,-2.4373738
