DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
2,4.75,-12.1734,-0.11500245,1.536384,-0.232613,-0.02053034,-0.01849918,391.28115,19.30392,99.8693,0.0231152,1.59898,0.1460194,367.466,397.8509,97.209305,-26.3783,-0.47673555,1.129292,-7.05305,-12.3322,-13.20754,-0.0259925,25.545,16.38241,102.8166,0.4225068,0.356292,0.1942184,0.2628547,2.2496165,0.1751442
2,5.25,-10.724905,-0.273691,1.237043,-0.117139,-0.1143063,-0.0257473,392.079,19.60619,99.8699,0.0212164,1.616265,0.1411515,368.3922,396.5898,97.269075,-24.52956,-0.4469753,1.1043095,-7.500645,-12.1514,-12.73275,-0.02410185,25.56137,16.443635,102.8162,0.40910955,0.41834965,0.179594,0.25066535,2.553017,0.1781224
2,5.75,-11.8803,0.2809996,1.7616775,-0.1916469,-0.3148422,0.003753335,392.999,18.71773,99.8651,0.0238521,1.663045,0.13154,367.50665,397.054,97.170015,-25.157035,-0.44897835,1.043508,-7.526945,-12.14265,-11.954965,-0.02154255,25.391405,16.376565,102.83585,0.42183285,0.37519155,0.16593855,0.2552488,2.769781,0.1901437
2,6.25,-9.8431315,-0.04895045,1.664441,-0.2723401,-0.615413,-0.01599345,392.68,18.3836,99.86615,0.0236329,1.6293605,0.134161,366.6805,395.2965,97.4958,-23.42033,-0.538545,1.017025,-7.51998,-12.08775,-11.986085,-0.02243175,25.284,16.102625,102.84645,0.4620218,0.3582303,0.1699721,0.2476166,2.691365,0.18842235
2,6.75,-9.628866,-0.55218145,1.52455,-0.2531462,-0.297438,-0.00520652,392.237,18.0502,99.867105,0.02332701,1.562058,0.1354899,368.1665,395.426,97.774405,-24.02045,-0.0266124,1.328843,-7.956114,-12.11955,-13.12058,-0.02239784,25.05472,16.11129,102.8775,0.44168335,0.36107535,0.17665105,0.24861645,3.30686,0.1766795
2,7.25,-9.91794,3.0031855,1.195095,1.125572,0.8991801,0.10828285,394.36705,17.65607,99.86444,0.026407295,1.5637975,0.15499215,367.90085,396.2295,97.774105,-8.272573,16.134905,4.301963,-7.7106,-12.12915,-11.609655,-0.02966235,25.036185,16.4195,102.9185,0.4536803,0.365998,0.2009032,0.2585728,2.867455,0.2624652
2,7.75,-4.058745,18.5724,0.4553597,6.4322015,3.77326,0.2735164,398.2515,19.12473,99.859,0.03357663,1.5655595,0.18139435,369.36205,402.44135,97.71303,30.026185,78.17406,16.654645,-8.4529435,-12.1607,-12.551235,-0.040373375,25.36122,19.01923,102.95835,0.4750868,0.39856,0.21315115,0.30517235,2.413239,0.3291325
2,8.25,8.182635,49.95273,-1.606663,5.915555,5.785965,0.02496655,398.945,22.6545,97.455,0.5907,1.9195805,0.2402598,373.26885,410.45145,97.27968,95.818055,173.9085,33.518465,-7.763505,-12.1779,-9.5848835,-0.07020738,26.18019,21.61,103.0045,0.61437895,0.46653065,0.27902185,0.3352492,1.6981265,0.3447099
2,8.75,34.23186,75.0213,-2.4612085,3.4959015,2.19203,-0.02078215,397.4074,24.49993,90.81693,2.5960805,2.3691475,0.3053481,370.416,416.98565,94.66157,179.992,288.2075,49.136245,-7.351335,-11.08955,-6.7080055,-0.1119988,26.8855,23.425405,103.03165,0.7561476,0.61371495,0.35670165,0.37901625,1.441194,0.3425769
2,9.25,73.95693,95.84609,-3.72236,2.8472105,1.30398,-0.02563821,395.967,24.77312,83.742865,4.8283885,2.911225,0.35533505,368.2678,423.097,88.513655,251.34945,388.991,63.215355,-5.870365,-6.551273,-2.504662,-0.1531928,27.914,24.923355,103.0268,0.85667545,0.7585657,0.4248394,0.4827457,1.461278,0.3283954
