DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
2,5.75,0.1465,-5.2275,1.09025,0.6795,0.22875,-0.203,-36.62875,-0.4345,-7.32875,1.558,60.165,100.8,397.72875,0.615,-60.7925,-0.006,-0.1,0.6495,226.75,286.55
2,6.25,0.151,-5.3505,1.078,0.722,0.178,-0.186,-35.704,-0.53475,-7.4145,1.535,59.9,100.8,398.1485,0.58,-60.155,0,-0.00625,0.688,228.225,286.8
2,6.75,0.17275,-5.562,1.0885,0.714,0.35575,-0.076,-30.683,-0.356,-7.5005,1.5025,60.0725,100.8,398.90225,0.58,-56.04,1.459,0.669,1.1,228.35,286.025
2,7.25,0.198,-5.30325,1.085,0.517,0.423555,-0.3715,-20.937,-0.607,-7.5775,1.48375,59.7225,100.8,398.6565,0.5675,-32.53,24.235,11.575,3.0125,228.3,288.75
2,7.75,0.2605,-4.6925,1.2145,0.2085,0.6296525,-0.9675,-5.8285,0.79475,-7.64925,1.50525,57.5275,100.8,398.7005,0.7,-3.235,71.275,33.45,6.565,230.25,292.95
2,8.25,0.364,-3.92875,1.28,-0.107,0.714,-1.478,11.48075,3.978,-7.71075,1.53925,54.96,100.8,398.21075,0.81,20.415,138.575,66.225,10.9275,232.975,297.95
2,8.75,0.417,-3.2985,1.46875,-0.629,0.496,-1.736,35.7865,7.005,-7.63275,1.6215,52.54,100.8,397.39225,0.9975,39.4525,199.4,95.075,15.4725,235.45,303.325
2,9.25,0.49,-2.58175,1.763,-0.687,0.18425,-1.663,58.443,10.19875,-7.4815,1.663,48.545,100.8,397.0535,1.2925,61.985,266.775,124.2,23.68,239.075,308.475
2,9.75,0.5165,-1.859,1.90825,-0.61775,0.132,-1.313,77.151,10.13475,-7.2755,1.705,45.27,100.8,396.2535,1.485,87.35,338.975,162.1,30,240.15,312.1
2,10.25,0.5055,-1.437,2.075,-0.67325,0.002,-1.025,93.936,13.511,-6.8975,1.75,42.775,100.8005,395.936,1.7225,96.35,393.3,191.2,29.715,240.325,314.875
2,10.75,0.522,-1.08375,2.15675,-0.519,-0.00825,-0.805,103.22,19.149,-6.60975,1.8,40.1575,100.8,395.0335,1.8875,120.175,440.275,213.375,31.5,243.825,319.125
2,11.25,0.542,-0.56525,2.0835,-0.48275,0.128,-0.856,111.4825,17.7455,-6.262,1.852,37.7225,100.7,395.5085,2.0675,135.45,483.65,226.525,35.765,245.625,322.375
2,11.75,0.5495,0.10425,2.144,-0.3795,-0.02825,-0.755,114.9575,21.427,-5.878,1.8615,35.495,100.67525,394.81,2.2875,135.9,460.85,214.2,33.975,247.75,323.55
2,12.25,0.5435,0.2065,2.10675,-0.39775,0.052,-0.6685,114.8625,19.114,-5.51225,1.91,34.12,100.7,394.737,2.4575,134.35,476.1,225.625,33.995,250.175,324.8
2,12.75,0.541,0.43425,2.35925,-0.198,0.1265,-0.622,132.80825,16.8755,-5.42375,1.92725,33,100.601,394.17,2.6775,146.65,501.725,239.375,35.56,250.725,325.5
2,13.25,0.54825,0.68475,2.244,-0.203,-0.012,-0.5105,108.743,16.3845,-5.111,1.92925,32.6,100.601,394.231,2.8075,138.125,465.15,223.575,31.92,251.025,326.75
2,13.75,0.568,0.78375,2.21425,-0.27,0.097,-0.44325,97.64375,16.82125,-4.89725,1.92675,31.3,100.6,394.3665,2.8175,120.85,416.125,200.775,31,249.7,326.325
2,14.25,0.51575,0.89625,2.25,-0.0275,0.106,-0.31225,78.152,14.524,-4.64025,1.95075,31.0025,100.6,394.0205,2.94,89.6,333.775,160.3,28.2525,250.925,325.7
2,14.75,0.493,0.8845,2.16825,0.082,0.24375,-0.31675,53.7575,11.80525,-4.6025,1.93725,30.8125,100.6,394.0025,2.8775,72.575,290.65,139.8,24.2,251.375,325.3
