DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
2,7.25,0.105515654,-17.875,2.1705,0.04675,-9.6678,0.026005,70.94,89.4,-29.85,0,0,0.369903,0,-5.238,-4.04,-7.4885,-6.36225,-5.557,-7.3395,-4.89875,-6.3925,399.8
2,7.75,0.09989,-17.88,2.0515,0.06,-8.764786555,0.013996883,71.35,89.4,-30.24,0,0,0.4400415,0,-5.248,-4.035,-7.499,-6.3755,-5.5665,-7.3085,-4.8945,-6.395,400.7
2,8.25,0.09534165,-17.81,2.1135,0.0568,-9.321726427,0.00274,71.83,89.4,-30.415,0.0604332,0,0.7171325,0.1325,-5.223,-4.034,-7.528,-6.3855,-5.583,-7.363,-4.8995,-6.383,400.1
2,8.75,0.10105,-17.855,2.0765,0.067,-8.508804032,0.0045825,71.32,89.45,-28.67,0.6071715,0,1.670105,0.5615,-5.273,-4.076,-7.55975,-6.31325,-5.5885,-7.3475,-4.902,-6.372,399.9
2,9.25,0.10266,-17.89,2.162,0.063,-9.01835,-0.0402,71.11,89.4,-28.96,6.21271,2.035,7.10272,2.601,-5.293,-4.063,-7.544,-6.30325,-5.5815,-7.3545,-4.89675,-6.3615,400
2,9.75,0.109332001,-17.29,2.085,0.0708,-10.252,0.0131,70.815,89.45,-26.94,21.9931,9.95,20.5047,8.78,-5.307,-4.047,-7.54425,-6.3295,-5.6015,-7.3035,-4.902,-6.357,400.5
2,10.25,0.113685,-17.505,2.2235,0.0741,-11.261031905,0.14046,71.16,89.4,-24.12,46.7764,28.11,45.7673,20.325,-5.362,-4.089,-7.55425,-6.36275,-5.624,-7.3305,-4.908,-6.383,399.6
2,10.75,0.107842387,-17.365,2.199,0.06065,-11.006560745,0.05832,71.225,89.4,-21.885,84.51825,50.5,76.2981,37.75,-5.315,-4.119,-7.54775,-6.36075,-5.6315,-7.306,-4.914,-6.4185,400.15
2,11.25,0.107269298,-17.07,2.128,0.07,-10.044555,0.07011,70.99,89.4,-18.51,122.9025,70.46,106.048,52.7,-5.3575,-4.13,-7.568,-6.4105,-5.662,-7.286,-4.913,-6.42975,399.95
2,11.75,0.103846282,-16.83,2.076,0.05985,-8.624338704,0.101410981,70.11,89.4,-16.71,150.4725,86.9,134.605,66.6,-5.311,-4.1045,-7.569,-6.448,-5.675,-7.295,-4.969,-6.44325,400.2
2,12.25,0.110520586,-16.63,2.162,0.0696,-6.27679,0.11943,70.33,89.5,-17.3,182.3825,99.3,159.721,76.92,-5.3085,-4.0265,-7.577,-6.456,-5.693,-7.297,-4.975,-6.42325,399.8
2,12.75,0.1059426075,-16.375,2.0905,0.0712,-7.95747281,0.17091,70.14,89.5,-18.385,195.99,105.7,171.7925,84.65,-5.23,-3.987,-7.562,-6.442,-5.6875,-7.324,-4.95625,-6.3845,400.8
