DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,22.25,0.129,-3.052,2.549,0.2545,0.249,0.0055,-23.946,-0.061,0.639,-0.0415,-5.379,0.2585,0.835,57.95,77.015,385.97,1.87,-74.385,0,-1.335,0,0.93,194.15,273.8,3.327,0
1,22.75,0.119,-3.3525,2.6485,0.214,0.202,0.012,-20.396,-0.334,0.067,-0.005,-5.4205,0.259,0.833,59.78,77.015,386.19,1.78,-70.695,0,-1.324,0,0.8675,195.15,273.4,3.3525,0
1,23.25,0.1475,-3.1805,2.754,0.245,0.244,0.005,-28.4815,-0.137,0.651,-0.006,-5.425,0.2475,0.8235,59.14,77.015,386.1465,1.81,-71.5,0,-1.1875,0,0.8695,195.25,273.85,3.324,0
1,23.75,0.1555,-3.2265,2.7525,0.2865,0.3015,0.007,-26.6305,-0.225,0.302,-0.03,-5.4185,0.219,0.824,58.11,77.01,386.25,1.695,-72.73,0,-1.2565,0,0.855,191.5,272.6,3.423,0
2,0.25,0.179,-2.383,3.02,0.29,0.278,0.004,-29.893,-0.1105,0.383,-0.005,-4.6215,0.154,0.699,61.59,76.88,385.622,2.075,-81.7,0,-1.4745,0,1.0005,197.6,284.9,3.767,0
2,0.75,0.193,-2.538,2.9465,0.273,0.273,0.009,-32.771,-0.273,1.273,-0.024,-4.502,0.153,0.689,61.46,76.87,385.792,2.03,-78.11,0,-1.594,0,0.918,199.2,284.95,3.753,0
2,1.25,0.186,-2.345,3.1225,0.286,0.298,0.007,-32.594,-0.15,0.564,-0.034,-4.5745,0.148,0.685,60.375,76.86,385.876,2.03,-80.75,0,-1.4845,0,1.0265,199.2,283.25,3.697,0
2,1.75,0.184,-2.521,3.105,0.295,0.287,0.006,-27.877,-0.188,0.727,0.023,-4.606,0.148,0.68,60.755,76.84,386.203,1.93,-78.98,0,-1.6125,0,0.856,198.65,283.8,3.697,0
2,2.25,0.202,-2.474,2.9725,0.307,0.308,0.0075,-35.509,-0.199,0.561,-0.075,-4.6145,0.147,0.678,59.66,76.84,386.258,1.87,-81.35,0,-1.661,0,0.8645,197.75,283.1,3.652,0
2,2.75,0.191,-3.2565,3.4195,0.2585,0.272,0.0035,-32.335,-0.191,0.74,-0.025,-4.624,0.143,0.673,60.63,76.83,386.493,1.775,-79.04,0,-1.59,0,0.831,196.25,282.55,3.572,0
2,3.25,0.198,-3.17,3.1045,0.2335,0.238,0.0065,-30.425,-0.293,0.274,-0.016,-4.624,0.144,0.672,62.65,76.8305,386.388,1.87,-79.53,0,-1.5485,0,0.8685,194.75,282.9,3.42,0
2,3.75,0.192,-3.4325,3.12,0.288,0.2775,0.006,-34.142,-0.262,0.8155,-0.022,-4.5025,0.144,0.672,63.15,76.82,386.5575,1.71,-79.025,0,-1.594,0,0.9795,196.2,282.1,3.4965,0
