DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
5,1.75,101.2426,90.5,-7.1765,-10.5875,12.8857194104186,8.07138351602608,0.834,0.547,256.6,269.1,-7.335,1.886375
5,2.25,101.23545,90.35,-7.3855,-9.005,13.48,13.435,1.4525,0.9665,257.95,268.85,-7.3405,1.80825
5,2.75,101.2142,90.6,-7.328,-9.35975,15.97,14.715,2.9135,2.2595,257.05,268.55,-7.312,1.7304375
5,3.25,101.2086,90.35,-7.354,-8.4735,24.45,21.155,6.0255,4.882,257.45,267.9,-7.1775,1.69941666666667
5,3.75,101.208,90.35,-7.345,-8.405,36.535,33.595,12.12,9.3,257.8,267.7,-7.0695,1.615375
5,4.25,101.21005,90.35,-7.3505,-4.465,55.295,48.1165484945192,20.94,15.995,256.8,268.1,-7.06,1.627
5,4.75,101.2051,90.2,-7.447,-2.63,76.195,69.765,32.85,26.39,257.75,267.75,-7.075,1.639375
5,5.25,101.20335,90.1,-7.374,1.45,107.05,96.5356098237825,48.935,39.895,258.25,268.35,-6.979,1.64125
5,5.75,101.20015,90,-7.275,3.69999999999999,151.53753869969,132.975,65.6575,53.6525,258,269.075,-6.75575,1.673
5,6.25,101.200725,89.5,-7.2735,6.54999999999998,193.845899515412,175.620372554461,85.675,71.095,257.825,270,-6.60575,1.626
5,6.75,101.19785,88.725,-7.23425,10.175,256.7,232.225586235604,113.5,94.8,258.1,270.075,-6.43825,1.64175
5,7.25,101.207075,87.975,-7.02725,14.55,320.725,293.822783405023,144.975,120.65,256.95,271.225,-6.263,1.63833333333333
5,7.75,101.2133,87.475,-6.89475,17.275,387.95,361.475,175.8,144.775,257.375,272.4,-5.9965,1.64266666666667
5,8.25,101.217475,87.05,-6.80375,22.05,470.675,424.2,216.65,176.475,257.375,273.5,-5.8385,1.65625
5,8.75,101.219725,85.7,-6.651,27.225,555.590028940638,514.05,251.35,210.125,256.475,274.7,-5.528,1.64833333333333
5,9.25,101.224825,85.3,-6.4205,33.7,644.225,577.196905786041,282.8,231.025,255.925,276.05,-5.22675,1.64866666666667
5,9.75,101.23035,84.925,-6.305,37.05,707.55,638.803767170806,316.2,262.7,256.8,276.25,-4.965,1.67958333333333
5,10.25,101.2205,84.25,-6.082,40.75,794.025,702.15,347.5,286.1,255.55,278.3,-4.5075,1.69558333333333
5,10.75,101.2268,82.975,-5.939,44.9,861.961110176336,751.9,381,313.3,256.9,278.9,-4.181,1.6925
5,11.25,101.2242,81.9,-5.828,51.45,916.082936801723,798.2,409.3,328.1,257.7,280.5,-3.96,1.694
5,11.75,101.23265,81.6,-5.6905,56.5,969,875.5,440.1,354.65,255.75,281.25,-3.5615,1.68441666666667
5,12.25,101.2484,80.6,-5.487,62.1,1019,898,456.1,362.1,256.7,282.3,-3.262,1.69933333333333
5,12.75,101.2469,80.1,-5.318,62.9,1035,893,461.2,367.4,259.5,283.9,-3.007,1.80745833333333
5,13.25,101.23265,79.755,-5.0125,63.9,1057,932.5,476,382.8,260.7,284.3,-2.8185,1.791
5,13.75,101.24455,79.035,-4.9985,65.5,1054.5,956.150867212433,469.95,375.7,258.85,285.1,-2.7595,1.877
5,14.25,101.2542,79.48,-4.7585,64.925,1044.86381242428,927.25,473.275,370.7,260.4,285.825,-2.538,2.01491666666667
5,14.75,101.257275,79.51,-4.79975,64.625,1024.24526349441,896.832190925489,452.45,359.9,260.925,284.875,-2.57075,2.067
